,var_freq,var_count,var_norm_count,var_cum_norm_count,var_cum_count,var_norm_freq,var_log_freq,var_log_cum_count,cum_norm_y_hat,cum_y_hat
0,1,2586,1.0,1.0,2586,0.0,0.0,3.4126285205443754,0.9126914639895745,2360.30743441305
1,2,896,0.34622823984526113,1.3462282398452612,3482,0.0037313432835820895,0.3010299956639812,3.5418287667813124,1.3641786219803005,3528.4017378190765
2,3,435,0.1678916827852998,1.514119922630561,3917,0.007462686567164179,0.47712125471966244,3.592953571547866,1.5697661311930893,4060.8454491341354
3,4,302,0.11644100580270793,1.630560928433269,4219,0.011194029850746268,0.6020599913279624,3.625209525381881,1.6944352321156255,4384.115075018892
4,5,233,0.0897485493230174,1.7203094777562864,4452,0.014925373134328358,0.6989700043360189,3.6485551556626707,1.7805884900042392,4607.821246660958
5,6,170,0.06537717601547388,1.7856866537717604,4622,0.018656716417910446,0.7781512503836436,3.6648299411430907,1.8448199556766418,4774.859585424119
6,7,140,0.053771760154738876,1.8394584139264993,4762,0.022388059701492536,0.8450980400142568,3.677789391068861,1.8951540228653412,4905.973149106907
7,8,142,0.05454545454545454,1.8940038684719538,4904,0.026119402985074626,0.9030899869919435,3.690550461510359,1.9360140928050726,5012.596429901113
8,9,97,0.03713733075435203,1.931141199226306,5001,0.029850746268656716,0.9542425094393249,3.699056854547668,1.9700680318454244,5101.625862320422
9,10,135,0.051837524177949706,1.9829787234042555,5136,0.033582089552238806,1.0,3.710625015060797,1.9990344836147482,5177.504140144124
10,11,86,0.03288201160541586,2.0158607350096713,5222,0.03731343283582089,1.041392685158225,3.7178368674869255,2.024077906295903,5243.241387774909
11,12,86,0.03288201160541586,2.0487427466150874,5308,0.041044776119402986,1.0791812460476249,3.724930914192398,2.0460194275164696,5300.960220130073
12,13,62,0.023597678916827854,2.072340425531915,5370,0.04477611940298507,1.1139433523068367,3.7299742856995555,2.0654571618462145,5352.206763372464
13,14,56,0.02127659574468085,2.093617021276596,5426,0.048507462686567165,1.146128035678238,3.7344797894255772,2.0828386484793424,5398.137906319099
14,15,41,0.015473887814313346,2.1090909090909093,5467,0.05223880597014925,1.1760912590556813,3.7377490738915573,2.0985064282365418,5439.63911699146
15,16,33,0.012379110251450677,2.12147001934236,5500,0.055970149253731345,1.2041199826559248,3.7403626894942437,2.1127277985577657,5477.401359271824
16,17,41,0.015473887814313346,2.1369439071566734,5541,0.05970149253731343,1.2304489213782739,3.743588150159904,2.1257148585022514,5511.97290922832
17,18,29,0.010831721470019342,2.1477756286266927,5570,0.06343283582089553,1.255272505103306,3.745855195173729,2.137638382420763,5543.795218557672
18,19,41,0.015473887814313346,2.163249516441006,5611,0.06716417910447761,1.2787536009528289,3.749040268703457,2.148637650909347,5573.228327600663
19,20,25,0.009284332688588007,2.172533849129594,5636,0.0708955223880597,1.3010299956639813,3.750970984437319,2.158827562591522,5600.569249299085
20,21,35,0.013152804642166345,2.1856866537717603,5671,0.07462686567164178,1.3222192947339193,3.753659647285999,2.168303873912463,5626.065514063718
21,22,39,0.014700193423597678,2.200386847195358,5710,0.07835820895522388,1.3424226808222062,3.756636108245848,2.177147123282818,5649.925313686085
22,23,16,0.005802707930367505,2.206189555125725,5726,0.08208955223880597,1.3617278360175928,3.75785134368558,2.185425613335939,5672.325210473403
23,24,16,0.005802707930367505,2.2119922630560924,5742,0.08582089552238806,1.380211241711606,3.759063188160487,2.1931977075835265,5693.416074103417
24,25,14,0.005029013539651838,2.2170212765957444,5756,0.08955223880597014,1.3979400086720377,3.7601207852645677,2.2005136204644558,5713.327708900619
25,26,22,0.008123791102514507,2.225145067698259,5778,0.09328358208955224,1.414973347970818,3.7617775375081783,2.2074168279020774,5732.172500126871
26,27,18,0.0065764023210831725,2.231721470019342,5796,0.09701492537313433,1.4313637641589874,3.763128376799137,2.213945190022939,5750.048316209298
27,28,20,0.007350096711798839,2.2390715667311407,5816,0.10074626865671642,1.4471580313422192,3.7646243978509815,2.220131853044206,5767.040840119273
28,29,12,0.00425531914893617,2.243326885880077,5828,0.1044776119402985,1.462397997898956,3.7655195430979527,2.226005979946634,5783.225458162049
29,30,22,0.008123791102514507,2.2514506769825915,5850,0.10820895522388059,1.4771212547196624,3.7671558660821804,2.2315933471065748,5798.668802270497
30,31,13,0.0046421663442940036,2.2560928433268854,5863,0.11194029850746269,1.4913616938342726,3.7681198941847973,2.2369168350415087,5813.430018582301
31,32,15,0.005415860735009671,2.261508704061895,5878,0.11567164179104478,1.505149978319906,3.7692295817365937,2.241996834808303,5827.561817979464
32,33,10,0.003481624758220503,2.2649903288201156,5888,0.11940298507462686,1.5185139398778875,3.7699678013294426,2.2468515866872414,5841.11135158652
33,34,12,0.00425531914893617,2.269245647969052,5900,0.12313432835820895,1.5314789170422551,3.7708520116421442,2.2514974641086756,5854.120944720928
34,35,10,0.003481624758220503,2.2727272727272725,5910,0.12686567164179105,1.5440680443502757,3.7715874808812555,2.25594921299796,5866.628715599728
35,36,11,0.0038684719535783366,2.2765957446808507,5921,0.13059701492537312,1.5563025007672873,3.7723950610820003,2.2602201545913423,5878.669099618622
36,37,15,0.005415860735009671,2.2820116054158603,5936,0.13432835820895522,1.568201724066995,3.7734938922709707,2.2643223581411713,5890.27329579493
37,38,13,0.0046421663442940036,2.2866537717601543,5949,0.13805970149253732,1.5797835966168101,3.774443968924965,2.268266788660727,5901.469648687982
38,39,11,0.0038684719535783366,2.2905222437137325,5960,0.1417910447761194,1.591064607026499,3.7752462597402365,2.272063433867742,5912.283976548116
