, ,Number of genomes,gene_class
420,Cluster 420,2,unique
421,Cluster 421,1,unique
422,Cluster 422,4,unique
423,Cluster 423,5,unique
424,Cluster 424,35,unique
425,Cluster 425,4,unique
426,Cluster 426,101,unique
427,Cluster 427,1323,core
428,Cluster 428,6,unique
429,Cluster 429,2,unique
430,Cluster 430,1,unique
431,Cluster 431,4,unique
432,Cluster 432,33,unique
433,Cluster 433,13,unique
434,Cluster 434,1322,core
435,Cluster 435,2,unique
436,Cluster 436,2,unique
437,Cluster 437,1,unique
438,Cluster 438,84,unique
439,Cluster 439,1,unique
440,Cluster 440,2,unique
441,Cluster 441,7,unique
442,Cluster 442,1,unique
443,Cluster 443,1,unique
444,Cluster 444,2,unique
445,Cluster 445,151,accessory
446,Cluster 446,1320,core
447,Cluster 447,1,unique
448,Cluster 448,2,unique
449,Cluster 449,2,unique
450,Cluster 450,1168,accessory
451,Cluster 451,1077,accessory
452,Cluster 452,4,unique
453,Cluster 453,1325,core
454,Cluster 454,2,unique
455,Cluster 455,1,unique
456,Cluster 456,1319,core
457,Cluster 457,4,unique
458,Cluster 458,280,accessory
459,Cluster 459,1,unique
460,Cluster 460,8,unique
461,Cluster 461,1,unique
462,Cluster 462,21,unique
463,Cluster 463,1,unique
464,Cluster 464,2,unique
465,Cluster 465,2,unique
466,Cluster 466,1,unique
467,Cluster 467,2,unique
468,Cluster 468,1,unique
469,Cluster 469,51,unique
470,Cluster 470,9,unique
471,Cluster 471,24,unique
472,Cluster 472,86,unique
473,Cluster 473,26,unique
474,Cluster 474,1295,accessory
475,Cluster 475,10,unique
476,Cluster 476,1,unique
477,Cluster 477,27,unique
478,Cluster 478,30,unique
479,Cluster 479,18,unique
480,Cluster 480,1,unique
481,Cluster 481,1308,core
482,Cluster 482,5,unique
483,Cluster 483,2,unique
484,Cluster 484,2,unique
485,Cluster 485,3,unique
486,Cluster 486,94,unique
487,Cluster 487,13,unique
488,Cluster 488,1,unique
489,Cluster 489,7,unique
490,Cluster 490,3,unique
491,Cluster 491,4,unique
492,Cluster 492,1,unique
493,Cluster 493,8,unique
494,Cluster 494,1314,core
495,Cluster 495,1019,accessory
496,Cluster 496,1322,core
497,Cluster 497,14,unique
498,Cluster 498,1,unique
499,Cluster 499,3,unique
500,Cluster 500,55,unique
501,Cluster 501,107,accessory
502,Cluster 502,123,accessory
503,Cluster 503,6,unique
504,Cluster 504,1322,core
505,Cluster 505,27,unique
506,Cluster 506,88,unique
507,Cluster 507,3,unique
508,Cluster 508,415,accessory
509,Cluster 509,4,unique
510,Cluster 510,4,unique
511,Cluster 511,1,unique
512,Cluster 512,2,unique
513,Cluster 513,1,unique
514,Cluster 514,2,unique
515,Cluster 515,1,unique
516,Cluster 516,2,unique
517,Cluster 517,16,unique
518,Cluster 518,1223,accessory
519,Cluster 519,3,unique
520,Cluster 520,16,unique
521,Cluster 521,1,unique
522,Cluster 522,2,unique
523,Cluster 523,1,unique
524,Cluster 524,203,accessory
525,Cluster 525,1,unique
526,Cluster 526,7,unique
527,Cluster 527,1,unique
528,Cluster 528,2,unique
529,Cluster 529,2,unique
530,Cluster 530,5,unique
531,Cluster 531,9,unique
532,Cluster 532,111,accessory
533,Cluster 533,1,unique
534,Cluster 534,6,unique
535,Cluster 535,6,unique
536,Cluster 536,1,unique
537,Cluster 537,14,unique
538,Cluster 538,1320,core
539,Cluster 539,2,unique
540,Cluster 540,1,unique
541,Cluster 541,2,unique
542,Cluster 542,556,accessory
543,Cluster 543,1,unique
544,Cluster 544,3,unique
545,Cluster 545,3,unique
546,Cluster 546,61,unique
547,Cluster 547,18,unique
548,Cluster 548,31,unique
549,Cluster 549,6,unique
550,Cluster 550,1,unique
551,Cluster 551,11,unique
552,Cluster 552,1,unique
553,Cluster 553,1,unique
554,Cluster 554,8,unique
555,Cluster 555,1,unique
556,Cluster 556,6,unique
557,Cluster 557,1,unique
558,Cluster 558,37,unique
559,Cluster 559,3,unique
560,Cluster 560,419,accessory
561,Cluster 561,2,unique
562,Cluster 562,2,unique
563,Cluster 563,86,unique
564,Cluster 564,17,unique
565,Cluster 565,1,unique
566,Cluster 566,65,unique
567,Cluster 567,182,accessory
568,Cluster 568,2,unique
569,Cluster 569,4,unique
570,Cluster 570,4,unique
571,Cluster 571,1,unique
572,Cluster 572,2,unique
573,Cluster 573,4,unique
574,Cluster 574,10,unique
575,Cluster 575,2,unique
576,Cluster 576,2,unique
577,Cluster 577,1,unique
578,Cluster 578,23,unique
579,Cluster 579,897,accessory
580,Cluster 580,47,unique
581,Cluster 581,500,accessory
582,Cluster 582,164,accessory
583,Cluster 583,12,unique
584,Cluster 584,29,unique
585,Cluster 585,1326,core
586,Cluster 586,2,unique
587,Cluster 587,245,accessory
588,Cluster 588,1,unique
589,Cluster 589,29,unique
590,Cluster 590,4,unique
591,Cluster 591,19,unique
592,Cluster 592,6,unique
593,Cluster 593,478,accessory
594,Cluster 594,97,unique
595,Cluster 595,2,unique
596,Cluster 596,51,unique
597,Cluster 597,4,unique
598,Cluster 598,2,unique
599,Cluster 599,1,unique
600,Cluster 600,381,accessory
601,Cluster 601,3,unique
602,Cluster 602,4,unique
603,Cluster 603,4,unique
604,Cluster 604,1,unique
605,Cluster 605,1,unique
606,Cluster 606,1018,accessory
607,Cluster 607,1,unique
608,Cluster 608,1319,core
609,Cluster 609,3,unique
610,Cluster 610,1,unique
611,Cluster 611,1327,core
612,Cluster 612,1,unique
613,Cluster 613,1163,accessory
614,Cluster 614,46,unique
615,Cluster 615,1,unique
616,Cluster 616,4,unique
617,Cluster 617,21,unique
618,Cluster 618,1324,core
619,Cluster 619,1,unique
620,Cluster 620,1,unique
621,Cluster 621,9,unique
622,Cluster 622,1322,core
623,Cluster 623,1,unique
624,Cluster 624,1,unique
625,Cluster 625,4,unique
626,Cluster 626,4,unique
627,Cluster 627,2,unique
628,Cluster 628,423,accessory
629,Cluster 629,5,unique
630,Cluster 630,1,unique
631,Cluster 631,42,unique
632,Cluster 632,4,unique
633,Cluster 633,9,unique
634,Cluster 634,24,unique
635,Cluster 635,49,unique
636,Cluster 636,1,unique
637,Cluster 637,5,unique
638,Cluster 638,3,unique
639,Cluster 639,3,unique
640,Cluster 640,1,unique
641,Cluster 641,6,unique
642,Cluster 642,2,unique
643,Cluster 643,7,unique
644,Cluster 644,1,unique
645,Cluster 645,1,unique
646,Cluster 646,16,unique
647,Cluster 647,1287,accessory
648,Cluster 648,7,unique
649,Cluster 649,4,unique
650,Cluster 650,12,unique
651,Cluster 651,1322,core
652,Cluster 652,1319,core
653,Cluster 653,1,unique
654,Cluster 654,2,unique
655,Cluster 655,1,unique
656,Cluster 656,7,unique
657,Cluster 657,67,unique
658,Cluster 658,3,unique
659,Cluster 659,2,unique
660,Cluster 660,22,unique
661,Cluster 661,1,unique
662,Cluster 662,6,unique
663,Cluster 663,2,unique
664,Cluster 664,5,unique
665,Cluster 665,3,unique
666,Cluster 666,2,unique
667,Cluster 667,237,accessory
668,Cluster 668,5,unique
669,Cluster 669,1,unique
670,Cluster 670,16,unique
671,Cluster 671,2,unique
672,Cluster 672,17,unique
673,Cluster 673,10,unique
674,Cluster 674,22,unique
675,Cluster 675,27,unique
676,Cluster 676,1317,core
677,Cluster 677,126,accessory
678,Cluster 678,2,unique
679,Cluster 679,1,unique
680,Cluster 680,1,unique
681,Cluster 681,26,unique
682,Cluster 682,22,unique
683,Cluster 683,1,unique
684,Cluster 684,1,unique
685,Cluster 685,2,unique
686,Cluster 686,3,unique
687,Cluster 687,64,unique
688,Cluster 688,151,accessory
689,Cluster 689,1,unique
690,Cluster 690,11,unique
691,Cluster 691,1,unique
692,Cluster 692,427,accessory
693,Cluster 693,22,unique
694,Cluster 694,2,unique
695,Cluster 695,1,unique
696,Cluster 696,5,unique
697,Cluster 697,121,accessory
698,Cluster 698,1,unique
699,Cluster 699,90,unique
700,Cluster 700,1,unique
701,Cluster 701,111,accessory
702,Cluster 702,11,unique
703,Cluster 703,8,unique
704,Cluster 704,1,unique
705,Cluster 705,9,unique
706,Cluster 706,11,unique
707,Cluster 707,1326,core
708,Cluster 708,8,unique
709,Cluster 709,1,unique
710,Cluster 710,168,accessory
711,Cluster 711,33,unique
712,Cluster 712,1,unique
713,Cluster 713,154,accessory
714,Cluster 714,1,unique
715,Cluster 715,2,unique
716,Cluster 716,3,unique
717,Cluster 717,1,unique
718,Cluster 718,154,accessory
719,Cluster 719,1,unique
720,Cluster 720,3,unique
721,Cluster 721,7,unique
722,Cluster 722,1310,core
723,Cluster 723,7,unique
724,Cluster 724,1325,core
725,Cluster 725,5,unique
726,Cluster 726,1,unique
727,Cluster 727,8,unique
728,Cluster 728,12,unique
729,Cluster 729,2,unique
730,Cluster 730,3,unique
731,Cluster 731,1,unique
732,Cluster 732,2,unique
733,Cluster 733,8,unique
734,Cluster 734,1,unique
735,Cluster 735,1,unique
736,Cluster 736,30,unique
737,Cluster 737,2,unique
738,Cluster 738,10,unique
739,Cluster 739,7,unique
740,Cluster 740,1,unique
741,Cluster 741,2,unique
742,Cluster 742,3,unique
743,Cluster 743,7,unique
744,Cluster 744,1,unique
745,Cluster 745,10,unique
746,Cluster 746,1,unique
747,Cluster 747,1,unique
748,Cluster 748,8,unique
749,Cluster 749,100,unique
750,Cluster 750,1301,core
751,Cluster 751,4,unique
752,Cluster 752,156,accessory
753,Cluster 753,20,unique
754,Cluster 754,83,unique
755,Cluster 755,13,unique
756,Cluster 756,1,unique
757,Cluster 757,4,unique
758,Cluster 758,74,unique
759,Cluster 759,2,unique
760,Cluster 760,136,accessory
761,Cluster 761,2,unique
762,Cluster 762,1318,core
763,Cluster 763,1,unique
764,Cluster 764,49,unique
765,Cluster 765,27,unique
766,Cluster 766,9,unique
767,Cluster 767,1,unique
768,Cluster 768,4,unique
769,Cluster 769,1,unique
770,Cluster 770,1,unique
771,Cluster 771,18,unique
772,Cluster 772,2,unique
773,Cluster 773,4,unique
774,Cluster 774,95,unique
775,Cluster 775,4,unique
776,Cluster 776,1,unique
777,Cluster 777,2,unique
778,Cluster 778,2,unique
779,Cluster 779,7,unique
780,Cluster 780,1,unique
781,Cluster 781,1325,core
782,Cluster 782,39,unique
783,Cluster 783,4,unique
784,Cluster 784,15,unique
785,Cluster 785,1,unique
786,Cluster 786,8,unique
787,Cluster 787,1327,core
788,Cluster 788,1,unique
789,Cluster 789,1327,core
790,Cluster 790,47,unique
791,Cluster 791,1327,core
792,Cluster 792,2,unique
793,Cluster 793,1325,core
794,Cluster 794,1,unique
795,Cluster 795,1326,core
796,Cluster 796,480,accessory
797,Cluster 797,3,unique
798,Cluster 798,5,unique
799,Cluster 799,2,unique
800,Cluster 800,5,unique
801,Cluster 801,3,unique
802,Cluster 802,2,unique
803,Cluster 803,1,unique
804,Cluster 804,1,unique
805,Cluster 805,186,accessory
806,Cluster 806,1,unique
807,Cluster 807,3,unique
808,Cluster 808,1,unique
809,Cluster 809,1307,core
810,Cluster 810,10,unique
811,Cluster 811,1310,core
812,Cluster 812,113,accessory
813,Cluster 813,1326,core
814,Cluster 814,1,unique
815,Cluster 815,7,unique
816,Cluster 816,4,unique
817,Cluster 817,3,unique
818,Cluster 818,6,unique
819,Cluster 819,1,unique
820,Cluster 820,19,unique
821,Cluster 821,23,unique
822,Cluster 822,9,unique
823,Cluster 823,1298,accessory
824,Cluster 824,2,unique
825,Cluster 825,4,unique
826,Cluster 826,119,accessory
827,Cluster 827,1,unique
828,Cluster 828,1315,core
829,Cluster 829,21,unique
830,Cluster 830,1318,core
831,Cluster 831,2,unique
832,Cluster 832,1327,core
833,Cluster 833,1324,core
834,Cluster 834,1,unique
835,Cluster 835,23,unique
836,Cluster 836,2,unique
837,Cluster 837,4,unique
838,Cluster 838,9,unique
839,Cluster 839,1,unique
840,Cluster 840,1,unique
841,Cluster 841,2,unique
842,Cluster 842,10,unique
843,Cluster 843,9,unique
844,Cluster 844,56,unique
845,Cluster 845,147,accessory
846,Cluster 846,1269,accessory
847,Cluster 847,2,unique
848,Cluster 848,2,unique
849,Cluster 849,1,unique
850,Cluster 850,1,unique
851,Cluster 851,16,unique
852,Cluster 852,26,unique
853,Cluster 853,1326,core
854,Cluster 854,2,unique
855,Cluster 855,1,unique
856,Cluster 856,2,unique
857,Cluster 857,106,accessory
858,Cluster 858,1,unique
859,Cluster 859,227,accessory
860,Cluster 860,1,unique
861,Cluster 861,134,accessory
862,Cluster 862,1,unique
863,Cluster 863,1,unique
864,Cluster 864,20,unique
865,Cluster 865,86,unique
866,Cluster 866,2,unique
867,Cluster 867,3,unique
868,Cluster 868,1,unique
869,Cluster 869,1325,core
870,Cluster 870,1,unique
871,Cluster 871,20,unique
872,Cluster 872,1323,core
873,Cluster 873,1,unique
874,Cluster 874,16,unique
875,Cluster 875,18,unique
876,Cluster 876,1323,core
877,Cluster 877,428,accessory
878,Cluster 878,11,unique
879,Cluster 879,6,unique
880,Cluster 880,1,unique
881,Cluster 881,1,unique
882,Cluster 882,3,unique
883,Cluster 883,1,unique
884,Cluster 884,2,unique
885,Cluster 885,10,unique
886,Cluster 886,1325,core
887,Cluster 887,1326,core
888,Cluster 888,1,unique
889,Cluster 889,485,accessory
890,Cluster 890,6,unique
891,Cluster 891,3,unique
892,Cluster 892,1,unique
893,Cluster 893,20,unique
894,Cluster 894,10,unique
895,Cluster 895,4,unique
896,Cluster 896,4,unique
897,Cluster 897,4,unique
898,Cluster 898,142,accessory
899,Cluster 899,2,unique
900,Cluster 900,1108,accessory
901,Cluster 901,4,unique
902,Cluster 902,16,unique
903,Cluster 903,6,unique
904,Cluster 904,164,accessory
905,Cluster 905,30,unique
906,Cluster 906,1,unique
907,Cluster 907,14,unique
908,Cluster 908,1325,core
909,Cluster 909,526,accessory
910,Cluster 910,3,unique
911,Cluster 911,1,unique
912,Cluster 912,44,unique
913,Cluster 913,4,unique
914,Cluster 914,1,unique
915,Cluster 915,7,unique
916,Cluster 916,2,unique
917,Cluster 917,1326,core
918,Cluster 918,1324,core
919,Cluster 919,2,unique
920,Cluster 920,37,unique
921,Cluster 921,9,unique
922,Cluster 922,1,unique
923,Cluster 923,114,accessory
924,Cluster 924,3,unique
925,Cluster 925,16,unique
926,Cluster 926,2,unique
927,Cluster 927,1,unique
928,Cluster 928,644,accessory
929,Cluster 929,1,unique
930,Cluster 930,38,unique
931,Cluster 931,2,unique
932,Cluster 932,1,unique
933,Cluster 933,2,unique
934,Cluster 934,4,unique
935,Cluster 935,9,unique
936,Cluster 936,1,unique
937,Cluster 937,1319,core
938,Cluster 938,2,unique
939,Cluster 939,4,unique
940,Cluster 940,1326,core
941,Cluster 941,1,unique
942,Cluster 942,2,unique
943,Cluster 943,1319,core
944,Cluster 944,99,unique
945,Cluster 945,18,unique
946,Cluster 946,5,unique
947,Cluster 947,1,unique
948,Cluster 948,1,unique
949,Cluster 949,2,unique
950,Cluster 950,1,unique
951,Cluster 951,1,unique
952,Cluster 952,1325,core
953,Cluster 953,8,unique
954,Cluster 954,1,unique
955,Cluster 955,3,unique
956,Cluster 956,54,unique
957,Cluster 957,1326,core
958,Cluster 958,1325,core
959,Cluster 959,1,unique
960,Cluster 960,197,accessory
961,Cluster 961,1319,core
962,Cluster 962,18,unique
963,Cluster 963,2,unique
964,Cluster 964,3,unique
965,Cluster 965,1322,core
966,Cluster 966,1,unique
967,Cluster 967,10,unique
968,Cluster 968,16,unique
969,Cluster 969,12,unique
970,Cluster 970,2,unique
971,Cluster 971,1,unique
972,Cluster 972,8,unique
973,Cluster 973,3,unique
974,Cluster 974,5,unique
975,Cluster 975,1,unique
976,Cluster 976,69,unique
977,Cluster 977,6,unique
978,Cluster 978,5,unique
979,Cluster 979,1,unique
980,Cluster 980,1,unique
981,Cluster 981,2,unique
982,Cluster 982,226,accessory
983,Cluster 983,2,unique
984,Cluster 984,1,unique
985,Cluster 985,67,unique
986,Cluster 986,168,accessory
987,Cluster 987,8,unique
