,var_freq,var_count,var_norm_count,var_cum_norm_count,var_cum_count,var_norm_freq,var_log_freq,var_log_cum_count,cum_norm_y_hat,cum_y_hat
0,1,14339,1.0,1.0,14339,0.0,0.0,4.156518864747027,0.9791206145627691,14039.631371600983
1,2,7248,0.5054400892732599,1.50544008927326,21587,0.0007541478129713424,0.3010299956639812,4.334192291524873,1.510902266220879,21665.316693074965
2,3,2998,0.20902496861486958,1.7144650578881295,24585,0.0015082956259426848,0.47712125471966244,4.390670212626181,1.7497797200993983,25091.34162678517
3,4,2997,0.208955223880597,1.9234202817687265,27582,0.0022624434389140274,0.6020599913279624,4.440625754133953,1.8934134562535219,27151.762135762994
4,5,1142,0.07957874180499372,2.0029990235737203,28724,0.0030165912518853697,0.6989700043360189,4.458244918055132,1.992056787589559,28567.110220459093
5,6,1005,0.07002371320965267,2.073022736783373,29729,0.003770739064856712,0.7781512503836436,4.473180301004936,2.0652386341720135,29617.391536758325
6,7,668,0.04651973775979913,2.119542474543172,30397,0.004524886877828055,0.8450980400142568,4.482830723485828,2.122352689095292,30437.292856248296
7,8,744,0.05182033756451388,2.171362812107686,31141,0.005279034690799397,0.9030899869919435,4.493332554523328,2.1685549999857225,31100.741589795285
8,9,524,0.036476496024550144,2.207839308132236,31665,0.006033182503770739,0.9542425094393249,4.500579492363338,2.206944083034934,31652.16426255488
9,10,463,0.03222206723392384,2.24006137536616,32128,0.006787330316742082,1.0,4.506883691128906,2.239509765922778,32120.09102380079
10,11,469,0.032640535639559216,2.272701911005719,32597,0.007541478129713424,1.041392685158225,4.513177632479043,2.2675965250450387,32523.79897609576
11,12,365,0.025387083275212722,2.2980889942809317,32962,0.008295625942684766,1.0791812460476249,4.518013555046075,2.2921500858450483,32876.8479308463
12,13,298,0.02071418607895104,2.318803180359883,33260,0.00904977375565611,1.1139433523068367,4.5219222448835,2.313857778232362,33189.09282429561
13,14,285,0.019807504533407728,2.3386106848932906,33545,0.00980392156862745,1.146128035678238,4.5256277962118885,2.3332328439987724,33467.8925172544
14,15,267,0.018552099316501605,2.3571627842097924,33812,0.010558069381598794,1.1760912590556813,4.529070860303613,2.3506673711703616,33718.86876784064
15,16,335,0.023294741247035847,2.380457525456828,34147,0.011312217194570135,1.2041199826559248,4.533352554557032,2.366466785887119,33946.40077604951
16,17,202,0.014018691588785047,2.394476217045613,34349,0.012066365007541479,1.2304489213782739,4.535914097995172,2.3808730472340214,34153.957751241396
17,18,165,0.011438136420700237,2.405914353466313,34514,0.01282051282051282,1.255272505103306,4.537995294766961,2.394080674478544,34344.32871067336
18,19,154,0.010670944343702051,2.4165852978100153,34668,0.013574660633484163,1.2787536009528289,4.539928787891822,2.4062480865143834,34519.785064443226
19,20,129,0.00892732598688799,2.4255126237969034,34797,0.014328808446455505,1.3010299956639813,4.541541803153256,2.4175057930013946,34682.19806005399
20,21,134,0.009276049658250803,2.434788673455154,34931,0.015082956259426848,1.3222192947339193,4.543211018740005,2.427962421156093,34833.12519453606
21,22,107,0.007392941832891617,2.4421816152880456,35038,0.01583710407239819,1.3424226808222062,4.544539308290757,2.43770922345094,34973.87484583957
22,23,161,0.011159157483609988,2.4533407727716554,35199,0.016591251885369532,1.3617278360175928,4.546530325391456,2.4468234991582114,35105.55533093043
23,24,125,0.00864834704979774,2.461989119821453,35324,0.017345399698340876,1.380211241711606,4.548069876093727,2.4553712262287304,35229.11264166753
24,25,94,0.0064862602873483055,2.4684753801088015,35418,0.01809954751131222,1.3979400086720377,4.549224033604839,2.4634091103364053,35345.359824003375
25,26,97,0.006695494490165993,2.4751708745989673,35515,0.01885369532428356,1.414973347970818,4.550411819008074,2.4709861978071075,35455.0001041583
26,27,98,0.006765239224438555,2.481936113823406,35613,0.0196078431372549,1.4313637641589874,4.551608559705352,2.4781451581058076,35558.64527692107
27,28,71,0.00488213139907937,2.4868182452224854,35684,0.020361990950226245,1.4471580313422192,4.552473530697344,2.4849233130606634,35656.83046266379
28,29,77,0.005300599804714744,2.4921188450272003,35761,0.021116138763197588,1.462397997898956,4.553409654654351,2.491353469916318,35750.02605166017
29,30,70,0.004812386664806807,2.496931231692007,35831,0.021870286576168928,1.4771212547196624,4.5542589289705075,2.4974646009501464,35838.6474484232
30,31,80,0.005509834007532431,2.5024410656995393,35911,0.02262443438914027,1.4913616938342726,4.555227498928218,2.503282401987736,35923.06307970016
31,32,70,0.004812386664806807,2.507253452364346,35981,0.023378582202111614,1.505149978319906,4.556073229283206,2.5088297545343825,36003.601020513976
32,33,58,0.003975449853536058,2.511228902217882,36039,0.024132730015082957,1.5185139398778875,4.556772731793507,2.5141271105933094,36080.55451168687
33,34,51,0.003487236713628121,2.5147161389315102,36090,0.024886877828054297,1.5314789170422551,4.557386882059507,2.5191928150142298,36154.186581674025
34,35,54,0.0036964709164458084,2.5184126098479562,36144,0.02564102564102564,1.5440680443502757,4.558036213576288,2.524043377020506,36224.73393972002
35,36,49,0.0033477472450829963,2.521760357093039,36193,0.026395173453996983,1.5563025007672873,4.558624582816597,2.5286937001258756,36292.410272404806
36,37,46,0.0031385130422653088,2.5248988701353046,36239,0.027149321266968326,1.568201724066995,4.559176204996112,2.5331572777768976,36357.40904876516
37,38,31,0.002092342028176873,2.526991212163481,36270,0.02790346907993967,1.5797835966168101,4.559547555580434,2.5374463606036644,36419.905918335346
38,39,53,0.003626726182173246,2.5306179383456544,36323,0.02865761689291101,1.591064607026499,4.560181710709184,2.541572100025825,36480.06077017028
