, ,Number of genomes
289,Cluster 289,4
290,Cluster 290,8
291,Cluster 291,2
292,Cluster 292,32
293,Cluster 293,3
294,Cluster 294,4
295,Cluster 295,42
296,Cluster 296,1
297,Cluster 297,27
298,Cluster 298,1
299,Cluster 299,1
300,Cluster 300,61
301,Cluster 301,1
302,Cluster 302,7
303,Cluster 303,56
304,Cluster 304,1
305,Cluster 305,1
306,Cluster 306,140
307,Cluster 307,1
308,Cluster 308,2
309,Cluster 309,2
310,Cluster 310,30
311,Cluster 311,196
312,Cluster 312,52
313,Cluster 313,4
314,Cluster 314,10
315,Cluster 315,2
316,Cluster 316,2
317,Cluster 317,10
318,Cluster 318,1
319,Cluster 319,17
320,Cluster 320,16
321,Cluster 321,2
322,Cluster 322,2
323,Cluster 323,1
324,Cluster 324,2
325,Cluster 325,1
326,Cluster 326,2
327,Cluster 327,7
328,Cluster 328,1
329,Cluster 329,1
330,Cluster 330,1326
331,Cluster 331,2
332,Cluster 332,3
333,Cluster 333,22
334,Cluster 334,2
335,Cluster 335,2
336,Cluster 336,1
337,Cluster 337,1
338,Cluster 338,1
339,Cluster 339,40
340,Cluster 340,1
341,Cluster 341,24
342,Cluster 342,2
343,Cluster 343,7
344,Cluster 344,6
345,Cluster 345,1326
346,Cluster 346,1
347,Cluster 347,26
348,Cluster 348,5
349,Cluster 349,43
350,Cluster 350,9
351,Cluster 351,3
352,Cluster 352,1298
353,Cluster 353,1
354,Cluster 354,11
355,Cluster 355,7
356,Cluster 356,5
357,Cluster 357,1
358,Cluster 358,4
359,Cluster 359,1
360,Cluster 360,5
361,Cluster 361,1
362,Cluster 362,1
363,Cluster 363,2
364,Cluster 364,23
365,Cluster 365,2
366,Cluster 366,267
367,Cluster 367,9
368,Cluster 368,2
369,Cluster 369,7
370,Cluster 370,4
371,Cluster 371,5
372,Cluster 372,841
373,Cluster 373,5
374,Cluster 374,3
375,Cluster 375,3
376,Cluster 376,13
377,Cluster 377,1
378,Cluster 378,2
379,Cluster 379,2
380,Cluster 380,5
381,Cluster 381,168
382,Cluster 382,8
383,Cluster 383,2
384,Cluster 384,1324
385,Cluster 385,3
386,Cluster 386,1256
387,Cluster 387,6
388,Cluster 388,3
389,Cluster 389,2
390,Cluster 390,1326
391,Cluster 391,5
392,Cluster 392,179
393,Cluster 393,1
394,Cluster 394,1
395,Cluster 395,1090
396,Cluster 396,1
397,Cluster 397,2
398,Cluster 398,2
399,Cluster 399,12
400,Cluster 400,3
401,Cluster 401,4
402,Cluster 402,1
403,Cluster 403,7
404,Cluster 404,10
405,Cluster 405,2
406,Cluster 406,3
407,Cluster 407,1
408,Cluster 408,1322
409,Cluster 409,1
410,Cluster 410,4
411,Cluster 411,4
412,Cluster 412,1074
413,Cluster 413,22
414,Cluster 414,4
415,Cluster 415,4
416,Cluster 416,2
417,Cluster 417,94
418,Cluster 418,3
419,Cluster 419,8
420,Cluster 420,2
421,Cluster 421,1
422,Cluster 422,4
423,Cluster 423,5
424,Cluster 424,35
425,Cluster 425,4
426,Cluster 426,101
427,Cluster 427,1323
428,Cluster 428,6
429,Cluster 429,2
430,Cluster 430,1
431,Cluster 431,4
432,Cluster 432,33
433,Cluster 433,13
434,Cluster 434,1322
435,Cluster 435,2
436,Cluster 436,2
437,Cluster 437,1
438,Cluster 438,84
439,Cluster 439,1
440,Cluster 440,2
441,Cluster 441,7
442,Cluster 442,1
443,Cluster 443,1
444,Cluster 444,2
445,Cluster 445,151
446,Cluster 446,1320
447,Cluster 447,1
448,Cluster 448,2
449,Cluster 449,2
450,Cluster 450,1168
451,Cluster 451,1077
452,Cluster 452,4
453,Cluster 453,1325
454,Cluster 454,2
455,Cluster 455,1
456,Cluster 456,1319
457,Cluster 457,4
458,Cluster 458,280
459,Cluster 459,1
460,Cluster 460,8
461,Cluster 461,1
462,Cluster 462,21
463,Cluster 463,1
464,Cluster 464,2
465,Cluster 465,2
466,Cluster 466,1
467,Cluster 467,2
468,Cluster 468,1
469,Cluster 469,51
470,Cluster 470,9
471,Cluster 471,24
472,Cluster 472,86
473,Cluster 473,26
474,Cluster 474,1295
475,Cluster 475,10
476,Cluster 476,1
477,Cluster 477,27
478,Cluster 478,30
479,Cluster 479,18
480,Cluster 480,1
481,Cluster 481,1308
482,Cluster 482,5
483,Cluster 483,2
484,Cluster 484,2
485,Cluster 485,3
486,Cluster 486,94
487,Cluster 487,13
488,Cluster 488,1
489,Cluster 489,7
490,Cluster 490,3
491,Cluster 491,4
492,Cluster 492,1
493,Cluster 493,8
494,Cluster 494,1314
495,Cluster 495,1019
496,Cluster 496,1322
497,Cluster 497,14
498,Cluster 498,1
499,Cluster 499,3
500,Cluster 500,55
501,Cluster 501,107
502,Cluster 502,123
503,Cluster 503,6
504,Cluster 504,1322
505,Cluster 505,27
506,Cluster 506,88
507,Cluster 507,3
508,Cluster 508,415
509,Cluster 509,4
510,Cluster 510,4
511,Cluster 511,1
512,Cluster 512,2
513,Cluster 513,1
514,Cluster 514,2
515,Cluster 515,1
516,Cluster 516,2
517,Cluster 517,16
518,Cluster 518,1223
519,Cluster 519,3
520,Cluster 520,16
521,Cluster 521,1
522,Cluster 522,2
523,Cluster 523,1
524,Cluster 524,203
525,Cluster 525,1
526,Cluster 526,7
527,Cluster 527,1
528,Cluster 528,2
529,Cluster 529,2
530,Cluster 530,5
531,Cluster 531,9
532,Cluster 532,111
533,Cluster 533,1
534,Cluster 534,6
535,Cluster 535,6
536,Cluster 536,1
537,Cluster 537,14
538,Cluster 538,1320
539,Cluster 539,2
540,Cluster 540,1
541,Cluster 541,2
542,Cluster 542,556
543,Cluster 543,1
544,Cluster 544,3
545,Cluster 545,3
546,Cluster 546,61
547,Cluster 547,18
548,Cluster 548,31
549,Cluster 549,6
550,Cluster 550,1
551,Cluster 551,11
552,Cluster 552,1
553,Cluster 553,1
554,Cluster 554,8
555,Cluster 555,1
556,Cluster 556,6
557,Cluster 557,1
558,Cluster 558,37
559,Cluster 559,3
560,Cluster 560,419
561,Cluster 561,2
562,Cluster 562,2
563,Cluster 563,86
564,Cluster 564,17
565,Cluster 565,1
566,Cluster 566,65
567,Cluster 567,182
568,Cluster 568,2
569,Cluster 569,4
570,Cluster 570,4
571,Cluster 571,1
572,Cluster 572,2
573,Cluster 573,4
574,Cluster 574,10
575,Cluster 575,2
576,Cluster 576,2
577,Cluster 577,1
578,Cluster 578,23
579,Cluster 579,897
580,Cluster 580,47
581,Cluster 581,500
582,Cluster 582,164
583,Cluster 583,12
584,Cluster 584,29
585,Cluster 585,1326
586,Cluster 586,2
587,Cluster 587,245
588,Cluster 588,1
589,Cluster 589,29
590,Cluster 590,4
591,Cluster 591,19
592,Cluster 592,6
593,Cluster 593,478
594,Cluster 594,97
595,Cluster 595,2
596,Cluster 596,51
597,Cluster 597,4
598,Cluster 598,2
599,Cluster 599,1
600,Cluster 600,381
601,Cluster 601,3
602,Cluster 602,4
603,Cluster 603,4
604,Cluster 604,1
605,Cluster 605,1
606,Cluster 606,1018
607,Cluster 607,1
608,Cluster 608,1319
609,Cluster 609,3
610,Cluster 610,1
611,Cluster 611,1327
