, ,Number of genomes
9122,Cluster 9122,4
9123,Cluster 9123,4
9124,Cluster 9124,4
9125,Cluster 9125,4
9126,Cluster 9126,1
9127,Cluster 9127,4
9128,Cluster 9128,45
9129,Cluster 9129,14
9130,Cluster 9130,2
9131,Cluster 9131,2
9132,Cluster 9132,1
9133,Cluster 9133,3
9134,Cluster 9134,1
9135,Cluster 9135,13
9136,Cluster 9136,1
9137,Cluster 9137,6
9138,Cluster 9138,10
9139,Cluster 9139,1
9140,Cluster 9140,874
9141,Cluster 9141,2
9142,Cluster 9142,7
9143,Cluster 9143,9
9144,Cluster 9144,19
9145,Cluster 9145,2
9146,Cluster 9146,4
9147,Cluster 9147,3
9148,Cluster 9148,1049
9149,Cluster 9149,3
9150,Cluster 9150,937
9151,Cluster 9151,1
9152,Cluster 9152,2
9153,Cluster 9153,1
9154,Cluster 9154,4
9155,Cluster 9155,12
9156,Cluster 9156,1
9157,Cluster 9157,6
9158,Cluster 9158,7
9159,Cluster 9159,1
9160,Cluster 9160,2
9161,Cluster 9161,1
9162,Cluster 9162,1
9163,Cluster 9163,1
9164,Cluster 9164,1
9165,Cluster 9165,1323
9166,Cluster 9166,1323
9167,Cluster 9167,1153
9168,Cluster 9168,625
9169,Cluster 9169,1326
9170,Cluster 9170,6
9171,Cluster 9171,1
9172,Cluster 9172,1
9173,Cluster 9173,217
9174,Cluster 9174,2
9175,Cluster 9175,2
9176,Cluster 9176,27
9177,Cluster 9177,21
9178,Cluster 9178,2
9179,Cluster 9179,1
9180,Cluster 9180,20
9181,Cluster 9181,1322
9182,Cluster 9182,1
9183,Cluster 9183,1
9184,Cluster 9184,1
9185,Cluster 9185,4
9186,Cluster 9186,1
9187,Cluster 9187,4
9188,Cluster 9188,4
9189,Cluster 9189,4
9190,Cluster 9190,2
9191,Cluster 9191,4
9192,Cluster 9192,1
9193,Cluster 9193,11
9194,Cluster 9194,7
9195,Cluster 9195,1
9196,Cluster 9196,42
9197,Cluster 9197,685
9198,Cluster 9198,3
9199,Cluster 9199,2
9200,Cluster 9200,6
9201,Cluster 9201,1
9202,Cluster 9202,4
9203,Cluster 9203,4
9204,Cluster 9204,1
9205,Cluster 9205,1
9206,Cluster 9206,2
9207,Cluster 9207,10
9208,Cluster 9208,1
9209,Cluster 9209,663
9210,Cluster 9210,1
9211,Cluster 9211,2
9212,Cluster 9212,1
9213,Cluster 9213,2
9214,Cluster 9214,18
9215,Cluster 9215,8
9216,Cluster 9216,16
9217,Cluster 9217,16
9218,Cluster 9218,2
9219,Cluster 9219,1301
9220,Cluster 9220,1
9221,Cluster 9221,1327
9222,Cluster 9222,953
9223,Cluster 9223,1320
9224,Cluster 9224,3
9225,Cluster 9225,1303
9226,Cluster 9226,287
9227,Cluster 9227,559
9228,Cluster 9228,62
9229,Cluster 9229,2
9230,Cluster 9230,103
9231,Cluster 9231,445
9232,Cluster 9232,10
9233,Cluster 9233,1
9234,Cluster 9234,168
9235,Cluster 9235,179
9236,Cluster 9236,52
9237,Cluster 9237,160
9238,Cluster 9238,14
9239,Cluster 9239,23
9240,Cluster 9240,1
9241,Cluster 9241,4
9242,Cluster 9242,4
9243,Cluster 9243,4
9244,Cluster 9244,1
9245,Cluster 9245,1
9246,Cluster 9246,103
9247,Cluster 9247,1
9248,Cluster 9248,7
9249,Cluster 9249,34
9250,Cluster 9250,14
9251,Cluster 9251,1
9252,Cluster 9252,97
9253,Cluster 9253,3
9254,Cluster 9254,40
9255,Cluster 9255,1
9256,Cluster 9256,1321
9257,Cluster 9257,2
9258,Cluster 9258,135
9259,Cluster 9259,7
9260,Cluster 9260,6
9261,Cluster 9261,12
9262,Cluster 9262,10
9263,Cluster 9263,1
9264,Cluster 9264,4
9265,Cluster 9265,2
9266,Cluster 9266,2
9267,Cluster 9267,2
9268,Cluster 9268,3
9269,Cluster 9269,1
9270,Cluster 9270,5
9271,Cluster 9271,1
9272,Cluster 9272,2
9273,Cluster 9273,5
9274,Cluster 9274,1
9275,Cluster 9275,9
9276,Cluster 9276,1
9277,Cluster 9277,3
9278,Cluster 9278,3
9279,Cluster 9279,4
9280,Cluster 9280,2
9281,Cluster 9281,1
9282,Cluster 9282,1
9283,Cluster 9283,1
9284,Cluster 9284,5
9285,Cluster 9285,1
9286,Cluster 9286,2
9287,Cluster 9287,1317
9288,Cluster 9288,1315
9289,Cluster 9289,1327
9290,Cluster 9290,1317
9291,Cluster 9291,1326
9292,Cluster 9292,1322
9293,Cluster 9293,62
9294,Cluster 9294,12
9295,Cluster 9295,3
9296,Cluster 9296,1
9297,Cluster 9297,1
9298,Cluster 9298,2
9299,Cluster 9299,1
9300,Cluster 9300,1
9301,Cluster 9301,11
9302,Cluster 9302,3
9303,Cluster 9303,1
9304,Cluster 9304,5
9305,Cluster 9305,1
9306,Cluster 9306,2
9307,Cluster 9307,48
9308,Cluster 9308,14
9309,Cluster 9309,21
9310,Cluster 9310,2
9311,Cluster 9311,4
9312,Cluster 9312,1
9313,Cluster 9313,1
9314,Cluster 9314,10
9315,Cluster 9315,1
9316,Cluster 9316,1325
9317,Cluster 9317,2
9318,Cluster 9318,88
9319,Cluster 9319,1312
9320,Cluster 9320,16
9321,Cluster 9321,3
9322,Cluster 9322,42
9323,Cluster 9323,2
9324,Cluster 9324,4
9325,Cluster 9325,331
9326,Cluster 9326,2
9327,Cluster 9327,3
9328,Cluster 9328,3
9329,Cluster 9329,7
9330,Cluster 9330,11
9331,Cluster 9331,1
9332,Cluster 9332,10
9333,Cluster 9333,3
9334,Cluster 9334,1
9335,Cluster 9335,1
9336,Cluster 9336,1
9337,Cluster 9337,13
9338,Cluster 9338,2
9339,Cluster 9339,1
9340,Cluster 9340,1
9341,Cluster 9341,216
9342,Cluster 9342,1
9343,Cluster 9343,1
9344,Cluster 9344,206
9345,Cluster 9345,122
9346,Cluster 9346,1326
9347,Cluster 9347,1286
9348,Cluster 9348,747
9349,Cluster 9349,1327
9350,Cluster 9350,1317
9351,Cluster 9351,20
9352,Cluster 9352,30
9353,Cluster 9353,99
9354,Cluster 9354,1
9355,Cluster 9355,82
9356,Cluster 9356,558
9357,Cluster 9357,1
9358,Cluster 9358,1323
9359,Cluster 9359,8
9360,Cluster 9360,9
9361,Cluster 9361,1302
9362,Cluster 9362,4
9363,Cluster 9363,2
9364,Cluster 9364,4
9365,Cluster 9365,1
9366,Cluster 9366,1326
9367,Cluster 9367,4
9368,Cluster 9368,1
9369,Cluster 9369,3
9370,Cluster 9370,1
9371,Cluster 9371,1303
9372,Cluster 9372,7
9373,Cluster 9373,15
9374,Cluster 9374,151
9375,Cluster 9375,5
9376,Cluster 9376,9
9377,Cluster 9377,2
9378,Cluster 9378,1
9379,Cluster 9379,1
9380,Cluster 9380,1
9381,Cluster 9381,2
9382,Cluster 9382,7
9383,Cluster 9383,2
9384,Cluster 9384,2
9385,Cluster 9385,3
9386,Cluster 9386,10
9387,Cluster 9387,26
9388,Cluster 9388,2
9389,Cluster 9389,11
9390,Cluster 9390,2
9391,Cluster 9391,1326
9392,Cluster 9392,22
9393,Cluster 9393,2
9394,Cluster 9394,1
9395,Cluster 9395,7
9396,Cluster 9396,1
9397,Cluster 9397,1
9398,Cluster 9398,136
9399,Cluster 9399,1
9400,Cluster 9400,160
9401,Cluster 9401,31
9402,Cluster 9402,3
9403,Cluster 9403,1
9404,Cluster 9404,7
9405,Cluster 9405,19
9406,Cluster 9406,1306
9407,Cluster 9407,402
9408,Cluster 9408,6
9409,Cluster 9409,1315
9410,Cluster 9410,8
9411,Cluster 9411,1327
9412,Cluster 9412,1323
9413,Cluster 9413,14
9414,Cluster 9414,32
9415,Cluster 9415,7
9416,Cluster 9416,1
9417,Cluster 9417,1
9418,Cluster 9418,254
9419,Cluster 9419,107
9420,Cluster 9420,37
9421,Cluster 9421,2
9422,Cluster 9422,1
9423,Cluster 9423,42
9424,Cluster 9424,1309
9425,Cluster 9425,3
9426,Cluster 9426,366
9427,Cluster 9427,19
9428,Cluster 9428,1
9429,Cluster 9429,4
9430,Cluster 9430,4
9431,Cluster 9431,15
9432,Cluster 9432,3
9433,Cluster 9433,1
9434,Cluster 9434,3
9435,Cluster 9435,15
9436,Cluster 9436,4
9437,Cluster 9437,2
9438,Cluster 9438,1325
9439,Cluster 9439,15
9440,Cluster 9440,100
9441,Cluster 9441,3
9442,Cluster 9442,27
9443,Cluster 9443,3
9444,Cluster 9444,2
9445,Cluster 9445,2
9446,Cluster 9446,2
9447,Cluster 9447,2
9448,Cluster 9448,3
9449,Cluster 9449,4
9450,Cluster 9450,4
9451,Cluster 9451,3
9452,Cluster 9452,2
9453,Cluster 9453,5
9454,Cluster 9454,1
9455,Cluster 9455,361
9456,Cluster 9456,1
9457,Cluster 9457,3
9458,Cluster 9458,1
9459,Cluster 9459,2
9460,Cluster 9460,3
9461,Cluster 9461,3
9462,Cluster 9462,2
9463,Cluster 9463,2
9464,Cluster 9464,2
9465,Cluster 9465,1
9466,Cluster 9466,3
9467,Cluster 9467,1259
9468,Cluster 9468,1312
9469,Cluster 9469,2
9470,Cluster 9470,1
9471,Cluster 9471,4
9472,Cluster 9472,94
9473,Cluster 9473,3
9474,Cluster 9474,132
9475,Cluster 9475,1319
9476,Cluster 9476,8
9477,Cluster 9477,10
9478,Cluster 9478,25
9479,Cluster 9479,109
9480,Cluster 9480,1321
9481,Cluster 9481,1
9482,Cluster 9482,17
9483,Cluster 9483,2
9484,Cluster 9484,5
9485,Cluster 9485,1
9486,Cluster 9486,4
9487,Cluster 9487,4
9488,Cluster 9488,1
9489,Cluster 9489,43
9490,Cluster 9490,1
9491,Cluster 9491,1
9492,Cluster 9492,36
9493,Cluster 9493,4
9494,Cluster 9494,6
9495,Cluster 9495,1317
9496,Cluster 9496,21
9497,Cluster 9497,38
9498,Cluster 9498,6
9499,Cluster 9499,2
9500,Cluster 9500,11
9501,Cluster 9501,5
9502,Cluster 9502,8
9503,Cluster 9503,2
9504,Cluster 9504,1
9505,Cluster 9505,22
9506,Cluster 9506,1
9507,Cluster 9507,1
9508,Cluster 9508,114
9509,Cluster 9509,2
9510,Cluster 9510,1
9511,Cluster 9511,3
9512,Cluster 9512,2
9513,Cluster 9513,2
9514,Cluster 9514,1
9515,Cluster 9515,1
9516,Cluster 9516,4
9517,Cluster 9517,360
9518,Cluster 9518,1
9519,Cluster 9519,241
9520,Cluster 9520,1249
9521,Cluster 9521,201
9522,Cluster 9522,1234
9523,Cluster 9523,3
9524,Cluster 9524,166
9525,Cluster 9525,58
9526,Cluster 9526,348
9527,Cluster 9527,1297
9528,Cluster 9528,1
9529,Cluster 9529,1318
9530,Cluster 9530,2
9531,Cluster 9531,1
9532,Cluster 9532,5
9533,Cluster 9533,1327
9534,Cluster 9534,4
9535,Cluster 9535,2
9536,Cluster 9536,2
9537,Cluster 9537,1
9538,Cluster 9538,1
9539,Cluster 9539,204
9540,Cluster 9540,4
9541,Cluster 9541,7
9542,Cluster 9542,296
9543,Cluster 9543,5
9544,Cluster 9544,3
9545,Cluster 9545,202
9546,Cluster 9546,2
9547,Cluster 9547,11
9548,Cluster 9548,2
9549,Cluster 9549,2
9550,Cluster 9550,24
9551,Cluster 9551,122
9552,Cluster 9552,2
9553,Cluster 9553,2
9554,Cluster 9554,6
9555,Cluster 9555,3
9556,Cluster 9556,15
9557,Cluster 9557,1
9558,Cluster 9558,1
9559,Cluster 9559,1
9560,Cluster 9560,4
9561,Cluster 9561,1
9562,Cluster 9562,2
9563,Cluster 9563,1
9564,Cluster 9564,2
9565,Cluster 9565,11
9566,Cluster 9566,3
9567,Cluster 9567,15
9568,Cluster 9568,1313
9569,Cluster 9569,2
9570,Cluster 9570,1
9571,Cluster 9571,1
9572,Cluster 9572,1237
9573,Cluster 9573,590
9574,Cluster 9574,75
9575,Cluster 9575,1318
9576,Cluster 9576,1324
9577,Cluster 9577,1233
9578,Cluster 9578,1327
9579,Cluster 9579,263
9580,Cluster 9580,1092
9581,Cluster 9581,1304
9582,Cluster 9582,1
9583,Cluster 9583,1222
9584,Cluster 9584,68
9585,Cluster 9585,1
9586,Cluster 9586,25
9587,Cluster 9587,8
9588,Cluster 9588,1
9589,Cluster 9589,27
9590,Cluster 9590,20
9591,Cluster 9591,30
9592,Cluster 9592,2
9593,Cluster 9593,1
9594,Cluster 9594,2
9595,Cluster 9595,16
9596,Cluster 9596,5
9597,Cluster 9597,1
9598,Cluster 9598,1
9599,Cluster 9599,1
9600,Cluster 9600,4
9601,Cluster 9601,2
9602,Cluster 9602,1313
9603,Cluster 9603,4
9604,Cluster 9604,4
9605,Cluster 9605,4
9606,Cluster 9606,4
9607,Cluster 9607,1316
9608,Cluster 9608,1314
9609,Cluster 9609,3
9610,Cluster 9610,16
9611,Cluster 9611,2
9612,Cluster 9612,1
9613,Cluster 9613,4
9614,Cluster 9614,1
9615,Cluster 9615,13
9616,Cluster 9616,11
9617,Cluster 9617,1320
9618,Cluster 9618,5
9619,Cluster 9619,2
9620,Cluster 9620,19
9621,Cluster 9621,2
9622,Cluster 9622,90
9623,Cluster 9623,4
9624,Cluster 9624,11
9625,Cluster 9625,13
9626,Cluster 9626,3
9627,Cluster 9627,2
9628,Cluster 9628,1
9629,Cluster 9629,3
9630,Cluster 9630,1
9631,Cluster 9631,3
9632,Cluster 9632,1
9633,Cluster 9633,1
9634,Cluster 9634,18
9635,Cluster 9635,82
9636,Cluster 9636,1
9637,Cluster 9637,1321
9638,Cluster 9638,1310
9639,Cluster 9639,331
9640,Cluster 9640,1
9641,Cluster 9641,61
9642,Cluster 9642,48
9643,Cluster 9643,532
9644,Cluster 9644,260
9645,Cluster 9645,57
9646,Cluster 9646,62
9647,Cluster 9647,1
9648,Cluster 9648,1
9649,Cluster 9649,162
9650,Cluster 9650,162
9651,Cluster 9651,2
9652,Cluster 9652,10
9653,Cluster 9653,1
9654,Cluster 9654,3
9655,Cluster 9655,1
9656,Cluster 9656,4
9657,Cluster 9657,4
9658,Cluster 9658,1
9659,Cluster 9659,1
9660,Cluster 9660,689
9661,Cluster 9661,1
9662,Cluster 9662,1327
9663,Cluster 9663,3
9664,Cluster 9664,1325
9665,Cluster 9665,16
9666,Cluster 9666,1316
9667,Cluster 9667,2
9668,Cluster 9668,1
9669,Cluster 9669,34
9670,Cluster 9670,15
9671,Cluster 9671,59
9672,Cluster 9672,5
9673,Cluster 9673,2
9674,Cluster 9674,219
9675,Cluster 9675,3
9676,Cluster 9676,3
9677,Cluster 9677,2
9678,Cluster 9678,1
9679,Cluster 9679,1
9680,Cluster 9680,2
9681,Cluster 9681,1
9682,Cluster 9682,2
9683,Cluster 9683,3
9684,Cluster 9684,4
9685,Cluster 9685,1
9686,Cluster 9686,13
9687,Cluster 9687,4
9688,Cluster 9688,1
9689,Cluster 9689,1
9690,Cluster 9690,1
9691,Cluster 9691,1
9692,Cluster 9692,1319
9693,Cluster 9693,1327
9694,Cluster 9694,1326
9695,Cluster 9695,619
9696,Cluster 9696,204
9697,Cluster 9697,1
9698,Cluster 9698,3
9699,Cluster 9699,39
9700,Cluster 9700,660
9701,Cluster 9701,16
9702,Cluster 9702,15
9703,Cluster 9703,2
9704,Cluster 9704,1
9705,Cluster 9705,567
9706,Cluster 9706,4
9707,Cluster 9707,1
9708,Cluster 9708,4
9709,Cluster 9709,4
9710,Cluster 9710,71
9711,Cluster 9711,1295
9712,Cluster 9712,1
9713,Cluster 9713,1290
9714,Cluster 9714,4
9715,Cluster 9715,3
9716,Cluster 9716,6
9717,Cluster 9717,2
9718,Cluster 9718,2
9719,Cluster 9719,1
9720,Cluster 9720,5
9721,Cluster 9721,2
9722,Cluster 9722,10
9723,Cluster 9723,9
9724,Cluster 9724,56
9725,Cluster 9725,12
9726,Cluster 9726,5
9727,Cluster 9727,2
9728,Cluster 9728,2
9729,Cluster 9729,110
9730,Cluster 9730,1
9731,Cluster 9731,202
9732,Cluster 9732,4
9733,Cluster 9733,2
9734,Cluster 9734,24
9735,Cluster 9735,1327
9736,Cluster 9736,1
9737,Cluster 9737,1327
9738,Cluster 9738,5
9739,Cluster 9739,69
9740,Cluster 9740,102
9741,Cluster 9741,1
9742,Cluster 9742,18
9743,Cluster 9743,1
9744,Cluster 9744,1192
9745,Cluster 9745,4
9746,Cluster 9746,1301
9747,Cluster 9747,1
9748,Cluster 9748,2
9749,Cluster 9749,18
9750,Cluster 9750,1
9751,Cluster 9751,4
9752,Cluster 9752,4
9753,Cluster 9753,2
9754,Cluster 9754,23
9755,Cluster 9755,2
9756,Cluster 9756,2
9757,Cluster 9757,1
9758,Cluster 9758,1
9759,Cluster 9759,223
9760,Cluster 9760,1321
9761,Cluster 9761,1294
9762,Cluster 9762,103
9763,Cluster 9763,5
9764,Cluster 9764,2
9765,Cluster 9765,3
9766,Cluster 9766,6
9767,Cluster 9767,7
9768,Cluster 9768,2
9769,Cluster 9769,4
9770,Cluster 9770,2
9771,Cluster 9771,2
9772,Cluster 9772,2
9773,Cluster 9773,2
9774,Cluster 9774,4
9775,Cluster 9775,1
9776,Cluster 9776,1
9777,Cluster 9777,1
9778,Cluster 9778,1
9779,Cluster 9779,2
9780,Cluster 9780,1
9781,Cluster 9781,1
9782,Cluster 9782,1
9783,Cluster 9783,7
9784,Cluster 9784,1
9785,Cluster 9785,2
9786,Cluster 9786,686
9787,Cluster 9787,26
9788,Cluster 9788,1
9789,Cluster 9789,8
9790,Cluster 9790,1
9791,Cluster 9791,1322
9792,Cluster 9792,473
9793,Cluster 9793,11
9794,Cluster 9794,1320
9795,Cluster 9795,1324
9796,Cluster 9796,1326
9797,Cluster 9797,1327
9798,Cluster 9798,1322
9799,Cluster 9799,1325
9800,Cluster 9800,1297
9801,Cluster 9801,69
9802,Cluster 9802,7
9803,Cluster 9803,96
9804,Cluster 9804,69
9805,Cluster 9805,2
9806,Cluster 9806,74
9807,Cluster 9807,9
9808,Cluster 9808,3
9809,Cluster 9809,2
9810,Cluster 9810,39
9811,Cluster 9811,5
9812,Cluster 9812,1
9813,Cluster 9813,4
9814,Cluster 9814,1
9815,Cluster 9815,4
9816,Cluster 9816,1323
9817,Cluster 9817,4
9818,Cluster 9818,4
9819,Cluster 9819,4
9820,Cluster 9820,4
9821,Cluster 9821,1
9822,Cluster 9822,6
9823,Cluster 9823,3
9824,Cluster 9824,20
9825,Cluster 9825,5
9826,Cluster 9826,2
9827,Cluster 9827,15
9828,Cluster 9828,3
9829,Cluster 9829,3
9830,Cluster 9830,1
9831,Cluster 9831,67
9832,Cluster 9832,4
9833,Cluster 9833,11
9834,Cluster 9834,2
9835,Cluster 9835,1
9836,Cluster 9836,1
9837,Cluster 9837,1
9838,Cluster 9838,4
9839,Cluster 9839,16
9840,Cluster 9840,1
9841,Cluster 9841,1
9842,Cluster 9842,2
9843,Cluster 9843,1
9844,Cluster 9844,1
9845,Cluster 9845,1324
9846,Cluster 9846,1323
9847,Cluster 9847,1125
9848,Cluster 9848,1320
9849,Cluster 9849,1320
9850,Cluster 9850,11
9851,Cluster 9851,1
9852,Cluster 9852,54
9853,Cluster 9853,1
9854,Cluster 9854,189
9855,Cluster 9855,1
9856,Cluster 9856,1
9857,Cluster 9857,4
9858,Cluster 9858,4
9859,Cluster 9859,4
9860,Cluster 9860,2
9861,Cluster 9861,4
9862,Cluster 9862,1326
9863,Cluster 9863,4
9864,Cluster 9864,4
9865,Cluster 9865,4
9866,Cluster 9866,39
9867,Cluster 9867,31
9868,Cluster 9868,95
9869,Cluster 9869,1
9870,Cluster 9870,1
9871,Cluster 9871,1278
9872,Cluster 9872,11
9873,Cluster 9873,6
9874,Cluster 9874,10
9875,Cluster 9875,7
9876,Cluster 9876,1323
9877,Cluster 9877,8
9878,Cluster 9878,2
9879,Cluster 9879,5
9880,Cluster 9880,2
9881,Cluster 9881,3
9882,Cluster 9882,2
9883,Cluster 9883,1308
9884,Cluster 9884,2
9885,Cluster 9885,1
9886,Cluster 9886,1
9887,Cluster 9887,7
9888,Cluster 9888,2
9889,Cluster 9889,1
9890,Cluster 9890,64
9891,Cluster 9891,2
9892,Cluster 9892,1
9893,Cluster 9893,1
9894,Cluster 9894,1
9895,Cluster 9895,1
9896,Cluster 9896,31
9897,Cluster 9897,1
9898,Cluster 9898,8
9899,Cluster 9899,1
9900,Cluster 9900,9
9901,Cluster 9901,1317
9902,Cluster 9902,1327
9903,Cluster 9903,59
9904,Cluster 9904,1303
9905,Cluster 9905,1324
9906,Cluster 9906,4
9907,Cluster 9907,7
9908,Cluster 9908,489
9909,Cluster 9909,2
9910,Cluster 9910,12
9911,Cluster 9911,24
9912,Cluster 9912,14
9913,Cluster 9913,1
9914,Cluster 9914,1
9915,Cluster 9915,113
9916,Cluster 9916,12
9917,Cluster 9917,1
9918,Cluster 9918,4
9919,Cluster 9919,1327
9920,Cluster 9920,4
9921,Cluster 9921,4
9922,Cluster 9922,4
9923,Cluster 9923,3
9924,Cluster 9924,1323
9925,Cluster 9925,4
9926,Cluster 9926,4
9927,Cluster 9927,4
9928,Cluster 9928,7
9929,Cluster 9929,3
9930,Cluster 9930,2
9931,Cluster 9931,1
9932,Cluster 9932,3
9933,Cluster 9933,3
9934,Cluster 9934,2
9935,Cluster 9935,2
9936,Cluster 9936,1
9937,Cluster 9937,6
9938,Cluster 9938,2
9939,Cluster 9939,3
9940,Cluster 9940,5
9941,Cluster 9941,3
9942,Cluster 9942,3
9943,Cluster 9943,2
9944,Cluster 9944,8
9945,Cluster 9945,598
9946,Cluster 9946,1
9947,Cluster 9947,8
9948,Cluster 9948,25
9949,Cluster 9949,1
9950,Cluster 9950,4
9951,Cluster 9951,1
9952,Cluster 9952,1
9953,Cluster 9953,1
9954,Cluster 9954,2
9955,Cluster 9955,1
9956,Cluster 9956,2
9957,Cluster 9957,2
9958,Cluster 9958,1
9959,Cluster 9959,1
9960,Cluster 9960,18
9961,Cluster 9961,1
9962,Cluster 9962,1317
9963,Cluster 9963,1321
9964,Cluster 9964,1298
9965,Cluster 9965,1323
9966,Cluster 9966,243
9967,Cluster 9967,1175
9968,Cluster 9968,749
9969,Cluster 9969,1326
9970,Cluster 9970,1293
9971,Cluster 9971,1
9972,Cluster 9972,5
9973,Cluster 9973,212
9974,Cluster 9974,3
9975,Cluster 9975,1293
9976,Cluster 9976,8
9977,Cluster 9977,17
9978,Cluster 9978,3
9979,Cluster 9979,28
9980,Cluster 9980,4
9981,Cluster 9981,1322
9982,Cluster 9982,25
9983,Cluster 9983,2
9984,Cluster 9984,5
9985,Cluster 9985,150
9986,Cluster 9986,4
9987,Cluster 9987,4
9988,Cluster 9988,4
9989,Cluster 9989,4
9990,Cluster 9990,4
9991,Cluster 9991,15
9992,Cluster 9992,7
9993,Cluster 9993,1
9994,Cluster 9994,4
9995,Cluster 9995,3
9996,Cluster 9996,1
9997,Cluster 9997,19
9998,Cluster 9998,6
9999,Cluster 9999,3
10000,Cluster 10000,117
10001,Cluster 10001,5
10002,Cluster 10002,2
10003,Cluster 10003,1
10004,Cluster 10004,2
10005,Cluster 10005,11
10006,Cluster 10006,3
10007,Cluster 10007,4
10008,Cluster 10008,4
10009,Cluster 10009,5
10010,Cluster 10010,3
10011,Cluster 10011,8
10012,Cluster 10012,53
10013,Cluster 10013,1
10014,Cluster 10014,1
10015,Cluster 10015,3
10016,Cluster 10016,1
10017,Cluster 10017,1
10018,Cluster 10018,1
10019,Cluster 10019,2
10020,Cluster 10020,8
10021,Cluster 10021,2
10022,Cluster 10022,1
10023,Cluster 10023,2
10024,Cluster 10024,6
10025,Cluster 10025,2
10026,Cluster 10026,4
10027,Cluster 10027,1
10028,Cluster 10028,1
10029,Cluster 10029,8
10030,Cluster 10030,1
10031,Cluster 10031,676
10032,Cluster 10032,1326
10033,Cluster 10033,1317
10034,Cluster 10034,1326
10035,Cluster 10035,1327
10036,Cluster 10036,1322
10037,Cluster 10037,1243
10038,Cluster 10038,3
10039,Cluster 10039,47
10040,Cluster 10040,6
10041,Cluster 10041,1
10042,Cluster 10042,10
10043,Cluster 10043,1
10044,Cluster 10044,243
10045,Cluster 10045,15
10046,Cluster 10046,51
10047,Cluster 10047,11
10048,Cluster 10048,23
10049,Cluster 10049,1320
10050,Cluster 10050,4
10051,Cluster 10051,2
10052,Cluster 10052,3
10053,Cluster 10053,6
10054,Cluster 10054,1
10055,Cluster 10055,30
10056,Cluster 10056,2
10057,Cluster 10057,957
10058,Cluster 10058,3
10059,Cluster 10059,2
10060,Cluster 10060,30
10061,Cluster 10061,11
10062,Cluster 10062,3
10063,Cluster 10063,1297
10064,Cluster 10064,2
10065,Cluster 10065,2
10066,Cluster 10066,4
10067,Cluster 10067,195
10068,Cluster 10068,2
10069,Cluster 10069,4
10070,Cluster 10070,4
10071,Cluster 10071,1
10072,Cluster 10072,1
10073,Cluster 10073,1290
10074,Cluster 10074,3
10075,Cluster 10075,10
10076,Cluster 10076,16
10077,Cluster 10077,7
10078,Cluster 10078,1
10079,Cluster 10079,1
10080,Cluster 10080,1
10081,Cluster 10081,4
10082,Cluster 10082,1
10083,Cluster 10083,1
10084,Cluster 10084,323
10085,Cluster 10085,1298
10086,Cluster 10086,1327
10087,Cluster 10087,1327
10088,Cluster 10088,1326
10089,Cluster 10089,1327
10090,Cluster 10090,1320
10091,Cluster 10091,1305
10092,Cluster 10092,399
10093,Cluster 10093,1314
10094,Cluster 10094,8
10095,Cluster 10095,1
10096,Cluster 10096,91
10097,Cluster 10097,4
10098,Cluster 10098,1
10099,Cluster 10099,1
10100,Cluster 10100,20
10101,Cluster 10101,7
10102,Cluster 10102,1
10103,Cluster 10103,7
10104,Cluster 10104,15
10105,Cluster 10105,1
10106,Cluster 10106,4
10107,Cluster 10107,4
10108,Cluster 10108,4
10109,Cluster 10109,4
10110,Cluster 10110,2
10111,Cluster 10111,4
10112,Cluster 10112,4
10113,Cluster 10113,4
10114,Cluster 10114,4
10115,Cluster 10115,4
10116,Cluster 10116,5
10117,Cluster 10117,10
10118,Cluster 10118,5
10119,Cluster 10119,1315
10120,Cluster 10120,1
10121,Cluster 10121,3
10122,Cluster 10122,5
10123,Cluster 10123,8
10124,Cluster 10124,12
10125,Cluster 10125,48
10126,Cluster 10126,2
10127,Cluster 10127,2
10128,Cluster 10128,41
10129,Cluster 10129,60
10130,Cluster 10130,9
10131,Cluster 10131,3
10132,Cluster 10132,3
10133,Cluster 10133,16
10134,Cluster 10134,1
10135,Cluster 10135,9
10136,Cluster 10136,1231
10137,Cluster 10137,1310
10138,Cluster 10138,4
10139,Cluster 10139,1
10140,Cluster 10140,2
10141,Cluster 10141,4
10142,Cluster 10142,197
10143,Cluster 10143,3
10144,Cluster 10144,10
10145,Cluster 10145,1
10146,Cluster 10146,2
10147,Cluster 10147,3
10148,Cluster 10148,90
10149,Cluster 10149,1
10150,Cluster 10150,2
10151,Cluster 10151,2
10152,Cluster 10152,1
10153,Cluster 10153,3
10154,Cluster 10154,241
10155,Cluster 10155,1323
10156,Cluster 10156,1288
10157,Cluster 10157,1326
10158,Cluster 10158,1253
10159,Cluster 10159,1325
10160,Cluster 10160,1321
10161,Cluster 10161,136
10162,Cluster 10162,216
10163,Cluster 10163,63
10164,Cluster 10164,1
10165,Cluster 10165,103
10166,Cluster 10166,1
10167,Cluster 10167,5
10168,Cluster 10168,31
10169,Cluster 10169,16
10170,Cluster 10170,1
10171,Cluster 10171,5
10172,Cluster 10172,1
10173,Cluster 10173,6
10174,Cluster 10174,1
10175,Cluster 10175,4
10176,Cluster 10176,4
10177,Cluster 10177,1
10178,Cluster 10178,3
10179,Cluster 10179,1322
10180,Cluster 10180,1
10181,Cluster 10181,1
10182,Cluster 10182,18
10183,Cluster 10183,5
10184,Cluster 10184,2
10185,Cluster 10185,1
10186,Cluster 10186,125
