, ,Number of genomes
289,Cluster 289,11
290,Cluster 290,1
291,Cluster 291,1
292,Cluster 292,1
293,Cluster 293,5
294,Cluster 294,1
295,Cluster 295,2
296,Cluster 296,1
297,Cluster 297,1
298,Cluster 298,2
299,Cluster 299,11
300,Cluster 300,9
301,Cluster 301,12
302,Cluster 302,1
303,Cluster 303,2
304,Cluster 304,1
305,Cluster 305,1
306,Cluster 306,575
307,Cluster 307,373
308,Cluster 308,1
309,Cluster 309,14
310,Cluster 310,3
311,Cluster 311,2
312,Cluster 312,1
313,Cluster 313,9
314,Cluster 314,1
315,Cluster 315,6
316,Cluster 316,16
317,Cluster 317,1
318,Cluster 318,1
319,Cluster 319,159
320,Cluster 320,52
321,Cluster 321,103
322,Cluster 322,36
323,Cluster 323,1859
324,Cluster 324,12
325,Cluster 325,79
326,Cluster 326,1
327,Cluster 327,1
328,Cluster 328,9
329,Cluster 329,4
330,Cluster 330,19
331,Cluster 331,24
332,Cluster 332,1
333,Cluster 333,76
334,Cluster 334,1970
335,Cluster 335,13
336,Cluster 336,10
337,Cluster 337,39
338,Cluster 338,1
339,Cluster 339,56
340,Cluster 340,2
341,Cluster 341,660
342,Cluster 342,1
343,Cluster 343,2
344,Cluster 344,2
345,Cluster 345,24
346,Cluster 346,32
347,Cluster 347,2
348,Cluster 348,13
349,Cluster 349,1
350,Cluster 350,1
351,Cluster 351,19
352,Cluster 352,2
353,Cluster 353,7
354,Cluster 354,721
355,Cluster 355,7
356,Cluster 356,3
357,Cluster 357,2
358,Cluster 358,7
359,Cluster 359,41
360,Cluster 360,6
361,Cluster 361,4
362,Cluster 362,1
363,Cluster 363,30
364,Cluster 364,1
365,Cluster 365,4
366,Cluster 366,330
367,Cluster 367,1
368,Cluster 368,824
369,Cluster 369,1
370,Cluster 370,2
371,Cluster 371,1
372,Cluster 372,177
373,Cluster 373,2
374,Cluster 374,26
375,Cluster 375,25
376,Cluster 376,6
377,Cluster 377,1
378,Cluster 378,1
379,Cluster 379,721
380,Cluster 380,1
381,Cluster 381,6
382,Cluster 382,1
383,Cluster 383,377
384,Cluster 384,3
385,Cluster 385,1
386,Cluster 386,46
387,Cluster 387,5
388,Cluster 388,5
389,Cluster 389,2
390,Cluster 390,2
391,Cluster 391,2
392,Cluster 392,1970
393,Cluster 393,1970
394,Cluster 394,25
395,Cluster 395,21
396,Cluster 396,3
397,Cluster 397,7
398,Cluster 398,20
399,Cluster 399,1
400,Cluster 400,1
401,Cluster 401,101
402,Cluster 402,1
403,Cluster 403,1
404,Cluster 404,1
405,Cluster 405,156
406,Cluster 406,433
407,Cluster 407,1
408,Cluster 408,6
409,Cluster 409,3
410,Cluster 410,17
