,var_freq,var_count,var_norm_count,var_cum_norm_count,var_cum_count,var_norm_freq,var_log_freq,var_log_cum_count,cum_norm_y_hat,cum_y_hat
0,1,34729,1.0,1.0,34729,0.0,0.0,4.540692278250743,0.9195075471066549,31933.658095919913
1,2,11914,0.3430373185901866,1.3430373185901865,46643,0.0005078720162519045,0.3010299956639812,4.6687864757463515,1.3708677467211892,47609.49510813346
2,3,6782,0.19526030868463487,1.5382976272748214,53425,0.001015744032503809,0.47712125471966244,4.727744530836107,1.5738707915438463,54660.3848487347
3,4,4362,0.1255759041695462,1.6638735314443676,57787,0.0015236160487557136,0.6020599913279624,4.7618301487445525,1.696027767076467,58903.65229503155
4,5,3234,0.09309490900714121,1.7569684404515087,61021,0.002031488065007618,0.6989700043360189,4.785479320496217,1.779968888006835,61819.759542701366
5,6,2156,0.062053674268601706,1.8190221147201104,63177,0.0025393600812595226,0.7781512503836436,4.800558999309248,1.8422712463573403,63984.39584349772
6,7,1834,0.05278161713890808,1.8718037318590186,65011,0.0030472320975114273,0.8450980400142568,4.812986846413911,1.8909125097613864,65674.60963899342
7,8,1578,0.045410043768716886,1.9172137756277354,66589,0.0035551041137633316,0.9030899869919435,4.82340249292614,1.9302732021809925,67042.52776534151
8,9,1194,0.03435268371343009,1.9515664593411655,67783,0.004062976130015236,0.9542425094393249,4.831120786316249,1.9629866569779924,68179.60062353172
9,10,970,0.027902557014512785,1.9794690163556783,68753,0.0045708481462671405,1.0,4.837291653120773,1.9907444492562603,69144.5732337714
10,11,860,0.024735084082008755,2.004204100437687,69613,0.005078720162519045,1.041392685158225,4.842690350258004,2.014689821118955,69977.14810781906
11,12,670,0.019263994471319972,2.023468094909007,70283,0.00558659217877095,1.0791812460476249,4.846850290894384,2.035627127805754,70705.25889443822
12,13,623,0.017910619672886433,2.0413787145818936,70906,0.006094464195022855,1.1139433523068367,4.850682986334541,2.0541410740886112,71349.21122094929
13,14,630,0.018112186132227596,2.0594909007141213,71536,0.006602336211274758,1.146128035678238,4.854524652523956,2.070668351098937,71924.17049696388
14,15,564,0.01621170237272518,2.0757026030868464,72100,0.007110208227526663,1.1760912590556813,4.857935264719429,2.085542623728649,72441.72423684852
15,16,536,0.015405436535360516,2.091108039622207,72636,0.007618080243778568,1.2041199826559248,4.861151919960177,2.099023849425372,72910.90024284432
16,17,467,0.013418567150426169,2.1045266067726334,73103,0.008125952260030472,1.2304489213782739,4.86393519989509,2.111317997456249,73338.85141566061
17,18,450,0.012929048606311909,2.1174556553789454,73553,0.008633824276282377,1.255272505103306,4.866600390957159,2.1225906766364315,73731.32901823
18,19,403,0.011575673807878368,2.129031329186824,73956,0.009141696292534281,1.2787536009528289,4.8689734137783,2.1329767784499563,74093.01756201008
19,20,323,0.009272057129693619,2.1383033863165175,74279,0.009649568308786187,1.3010299956639813,4.870866048306767,2.1425874437566788,74427.77674678194
20,21,307,0.008811333794056669,2.147114720110574,74586,0.01015744032503809,1.3222192947339193,4.872657316838098,2.151515189320302,74738.81949471544
21,22,339,0.009732780465330569,2.1568475005759047,74925,0.010665312341289994,1.3424226808222062,4.874626751617682,2.159837742613453,75028.84512547999
22,23,287,0.008235429624510482,2.1650829302004153,75212,0.0111731843575419,1.3617278360175928,4.876287137373732,2.1676209529300072,75300.14045335329
23,24,256,0.007342778161713891,2.172425708362129,75468,0.011681056373793804,1.380211241711606,4.877762840776173,2.1749210308736724,75554.6575601809
24,25,279,0.008005067956692006,2.180430776318821,75747,0.01218892839004571,1.3979400086720377,4.879365437052282,2.181786292084466,75794.07435150935
25,26,251,0.007198802119327344,2.1876295784381483,75998,0.012696800406297613,1.414973347970818,4.880802163328254,2.1882585299658444,76019.84222865386
26,27,250,0.007170006910850035,2.1947995853489983,76248,0.013204672422549517,1.4313637641589874,4.882228456538753,2.194374107281541,76233.22399767335
27,28,234,0.0067092835752130845,2.2015088689242113,76482,0.013712544438801422,1.4471580313422192,4.883559236192821,2.2001648322638903,76435.32429486039
28,29,183,0.005240727942870307,2.2067495968670814,76665,0.014220416455053326,1.462397997898956,4.884597140010918,2.2056586677959196,76627.1142152167
29,30,199,0.005701451278507256,2.2124510481455886,76864,0.014728288471305232,1.4771212547196624,4.8857229813867935,2.2108803100193537,76809.45140635212
30,31,177,0.00506795669200645,2.217519004837595,77041,0.015236160487557136,1.4913616938342726,4.886721911339522,2.215851663878191,76983.09658316182
31,32,181,0.005183137525915688,2.2227021423635107,77222,0.01574403250380904,1.505149978319906,4.8877410453806975,2.220592236626998,77148.7271935824
32,33,141,0.004031329186823312,2.226733471550334,77363,0.016251904520060943,1.5185139398778875,4.8885333025716315,2.2251194655306126,77306.94879894712
33,34,144,0.004117714812255241,2.2308511863625893,77507,0.01675977653631285,1.5314789170422551,4.889340927333259,2.229448992386178,77458.30460758721
34,35,174,0.004981571066574522,2.2358327574291637,77681,0.017267648552564754,1.5440680443502757,4.890314807678611,2.2335948947801114,77603.28350592373
35,36,156,0.004463257313982953,2.2402960147431465,77837,0.017775520568816656,1.5563025007672873,4.891186088969528,2.237569881919018,77742.32685928367
36,37,131,0.003743377102050219,2.2440393918451966,77968,0.018283392585068562,1.568201724066995,4.891916394037219,2.241385461278449,77875.834299278
37,38,109,0.0031098825155494126,2.247149274360746,78077,0.018791264601320468,1.5797835966168101,4.892523117818521,2.2450520810765076,78004.16867162497
38,39,123,0.003513015434231744,2.2506622897949775,78200,0.019299136617572373,1.591064607026499,4.893206753059848,2.2485792526131028,78127.66028474785
