, ,Number of genomes,gene_class
294,Cluster 294,1,unique
295,Cluster 295,2,unique
296,Cluster 296,1,unique
297,Cluster 297,1,unique
298,Cluster 298,2,unique
299,Cluster 299,11,unique
300,Cluster 300,9,unique
301,Cluster 301,12,unique
302,Cluster 302,1,unique
303,Cluster 303,2,unique
304,Cluster 304,1,unique
305,Cluster 305,1,unique
306,Cluster 306,575,accessory
307,Cluster 307,373,accessory
308,Cluster 308,1,unique
309,Cluster 309,14,unique
310,Cluster 310,3,unique
311,Cluster 311,2,unique
312,Cluster 312,1,unique
313,Cluster 313,9,unique
314,Cluster 314,1,unique
315,Cluster 315,6,unique
316,Cluster 316,16,unique
317,Cluster 317,1,unique
318,Cluster 318,1,unique
319,Cluster 319,159,unique
320,Cluster 320,52,unique
321,Cluster 321,103,unique
322,Cluster 322,36,unique
323,Cluster 323,1859,accessory
324,Cluster 324,12,unique
325,Cluster 325,79,unique
326,Cluster 326,1,unique
327,Cluster 327,1,unique
328,Cluster 328,9,unique
329,Cluster 329,4,unique
330,Cluster 330,19,unique
331,Cluster 331,24,unique
332,Cluster 332,1,unique
333,Cluster 333,76,unique
334,Cluster 334,1970,core
335,Cluster 335,13,unique
336,Cluster 336,10,unique
337,Cluster 337,39,unique
338,Cluster 338,1,unique
339,Cluster 339,56,unique
340,Cluster 340,2,unique
341,Cluster 341,660,accessory
342,Cluster 342,1,unique
343,Cluster 343,2,unique
344,Cluster 344,2,unique
345,Cluster 345,24,unique
346,Cluster 346,32,unique
347,Cluster 347,2,unique
348,Cluster 348,13,unique
349,Cluster 349,1,unique
350,Cluster 350,1,unique
351,Cluster 351,19,unique
352,Cluster 352,2,unique
353,Cluster 353,7,unique
354,Cluster 354,721,accessory
355,Cluster 355,7,unique
356,Cluster 356,3,unique
357,Cluster 357,2,unique
358,Cluster 358,7,unique
359,Cluster 359,41,unique
360,Cluster 360,6,unique
361,Cluster 361,4,unique
362,Cluster 362,1,unique
363,Cluster 363,30,unique
364,Cluster 364,1,unique
365,Cluster 365,4,unique
366,Cluster 366,330,accessory
367,Cluster 367,1,unique
368,Cluster 368,824,accessory
369,Cluster 369,1,unique
370,Cluster 370,2,unique
371,Cluster 371,1,unique
372,Cluster 372,177,accessory
373,Cluster 373,2,unique
374,Cluster 374,26,unique
375,Cluster 375,25,unique
376,Cluster 376,6,unique
377,Cluster 377,1,unique
378,Cluster 378,1,unique
379,Cluster 379,721,accessory
380,Cluster 380,1,unique
381,Cluster 381,6,unique
382,Cluster 382,1,unique
383,Cluster 383,377,accessory
384,Cluster 384,3,unique
385,Cluster 385,1,unique
386,Cluster 386,46,unique
387,Cluster 387,5,unique
388,Cluster 388,5,unique
389,Cluster 389,2,unique
390,Cluster 390,2,unique
391,Cluster 391,2,unique
392,Cluster 392,1970,core
393,Cluster 393,1970,core
394,Cluster 394,25,unique
395,Cluster 395,21,unique
396,Cluster 396,3,unique
397,Cluster 397,7,unique
398,Cluster 398,20,unique
399,Cluster 399,1,unique
400,Cluster 400,1,unique
401,Cluster 401,101,unique
402,Cluster 402,1,unique
403,Cluster 403,1,unique
404,Cluster 404,1,unique
405,Cluster 405,156,unique
406,Cluster 406,433,accessory
407,Cluster 407,1,unique
408,Cluster 408,6,unique
409,Cluster 409,3,unique
410,Cluster 410,17,unique
411,Cluster 411,30,unique
412,Cluster 412,1,unique
413,Cluster 413,9,unique
414,Cluster 414,2,unique
415,Cluster 415,1966,core
416,Cluster 416,1,unique
417,Cluster 417,3,unique
418,Cluster 418,1,unique
419,Cluster 419,2,unique
420,Cluster 420,408,accessory
421,Cluster 421,2,unique
422,Cluster 422,7,unique
423,Cluster 423,5,unique
424,Cluster 424,9,unique
425,Cluster 425,2,unique
426,Cluster 426,12,unique
427,Cluster 427,1948,core
428,Cluster 428,12,unique
429,Cluster 429,1,unique
430,Cluster 430,2,unique
431,Cluster 431,1,unique
432,Cluster 432,6,unique
433,Cluster 433,1,unique
434,Cluster 434,2,unique
435,Cluster 435,9,unique
436,Cluster 436,1,unique
437,Cluster 437,3,unique
438,Cluster 438,4,unique
439,Cluster 439,44,unique
440,Cluster 440,37,unique
441,Cluster 441,11,unique
442,Cluster 442,7,unique
443,Cluster 443,14,unique
444,Cluster 444,6,unique
445,Cluster 445,3,unique
446,Cluster 446,5,unique
447,Cluster 447,1,unique
448,Cluster 448,1962,core
449,Cluster 449,1,unique
450,Cluster 450,17,unique
451,Cluster 451,3,unique
452,Cluster 452,15,unique
453,Cluster 453,1,unique
454,Cluster 454,6,unique
455,Cluster 455,54,unique
456,Cluster 456,6,unique
457,Cluster 457,29,unique
458,Cluster 458,1,unique
459,Cluster 459,1,unique
460,Cluster 460,9,unique
461,Cluster 461,3,unique
462,Cluster 462,12,unique
463,Cluster 463,411,accessory
464,Cluster 464,7,unique
465,Cluster 465,2,unique
466,Cluster 466,1957,core
467,Cluster 467,8,unique
468,Cluster 468,4,unique
469,Cluster 469,221,accessory
470,Cluster 470,2,unique
471,Cluster 471,17,unique
472,Cluster 472,288,accessory
473,Cluster 473,191,accessory
474,Cluster 474,1,unique
475,Cluster 475,1311,accessory
476,Cluster 476,146,unique
477,Cluster 477,14,unique
478,Cluster 478,9,unique
479,Cluster 479,2,unique
480,Cluster 480,9,unique
481,Cluster 481,15,unique
482,Cluster 482,10,unique
483,Cluster 483,639,accessory
484,Cluster 484,2,unique
485,Cluster 485,3,unique
486,Cluster 486,39,unique
487,Cluster 487,7,unique
488,Cluster 488,3,unique
489,Cluster 489,3,unique
490,Cluster 490,6,unique
491,Cluster 491,5,unique
492,Cluster 492,19,unique
493,Cluster 493,1,unique
494,Cluster 494,1788,accessory
495,Cluster 495,1969,core
496,Cluster 496,726,accessory
497,Cluster 497,16,unique
498,Cluster 498,26,unique
499,Cluster 499,1,unique
500,Cluster 500,5,unique
501,Cluster 501,27,unique
502,Cluster 502,143,unique
503,Cluster 503,8,unique
504,Cluster 504,490,accessory
505,Cluster 505,1,unique
506,Cluster 506,4,unique
507,Cluster 507,5,unique
508,Cluster 508,1,unique
509,Cluster 509,76,unique
510,Cluster 510,1952,core
511,Cluster 511,4,unique
512,Cluster 512,1965,core
513,Cluster 513,1,unique
514,Cluster 514,4,unique
515,Cluster 515,2,unique
516,Cluster 516,2,unique
517,Cluster 517,2,unique
518,Cluster 518,1,unique
519,Cluster 519,1,unique
520,Cluster 520,4,unique
521,Cluster 521,1,unique
522,Cluster 522,1,unique
523,Cluster 523,5,unique
524,Cluster 524,3,unique
525,Cluster 525,4,unique
526,Cluster 526,2,unique
527,Cluster 527,123,unique
528,Cluster 528,1,unique
529,Cluster 529,1,unique
530,Cluster 530,1,unique
531,Cluster 531,662,accessory
532,Cluster 532,9,unique
533,Cluster 533,346,accessory
534,Cluster 534,23,unique
535,Cluster 535,1,unique
536,Cluster 536,1,unique
537,Cluster 537,1,unique
538,Cluster 538,1,unique
539,Cluster 539,1,unique
540,Cluster 540,1969,core
541,Cluster 541,48,unique
542,Cluster 542,7,unique
543,Cluster 543,1782,accessory
544,Cluster 544,7,unique
545,Cluster 545,1,unique
546,Cluster 546,4,unique
547,Cluster 547,14,unique
548,Cluster 548,1,unique
549,Cluster 549,1,unique
550,Cluster 550,1,unique
551,Cluster 551,8,unique
552,Cluster 552,6,unique
553,Cluster 553,1,unique
554,Cluster 554,6,unique
555,Cluster 555,4,unique
556,Cluster 556,1,unique
557,Cluster 557,4,unique
558,Cluster 558,1968,core
559,Cluster 559,1,unique
560,Cluster 560,191,accessory
561,Cluster 561,76,unique
562,Cluster 562,3,unique
563,Cluster 563,9,unique
564,Cluster 564,3,unique
565,Cluster 565,1,unique
566,Cluster 566,4,unique
567,Cluster 567,1,unique
568,Cluster 568,11,unique
569,Cluster 569,4,unique
570,Cluster 570,5,unique
571,Cluster 571,1,unique
572,Cluster 572,1,unique
573,Cluster 573,1,unique
574,Cluster 574,1,unique
575,Cluster 575,3,unique
576,Cluster 576,16,unique
577,Cluster 577,1,unique
578,Cluster 578,17,unique
579,Cluster 579,65,unique
580,Cluster 580,1,unique
581,Cluster 581,9,unique
582,Cluster 582,6,unique
583,Cluster 583,1,unique
584,Cluster 584,1,unique
585,Cluster 585,1,unique
586,Cluster 586,78,unique
587,Cluster 587,8,unique
588,Cluster 588,5,unique
589,Cluster 589,1899,accessory
590,Cluster 590,1,unique
591,Cluster 591,1,unique
592,Cluster 592,337,accessory
593,Cluster 593,2,unique
594,Cluster 594,9,unique
595,Cluster 595,2,unique
596,Cluster 596,1,unique
597,Cluster 597,7,unique
598,Cluster 598,1,unique
599,Cluster 599,14,unique
600,Cluster 600,3,unique
601,Cluster 601,6,unique
602,Cluster 602,1,unique
603,Cluster 603,1,unique
604,Cluster 604,28,unique
605,Cluster 605,29,unique
606,Cluster 606,2,unique
607,Cluster 607,1,unique
608,Cluster 608,1967,core
609,Cluster 609,3,unique
610,Cluster 610,4,unique
611,Cluster 611,1,unique
612,Cluster 612,1,unique
613,Cluster 613,8,unique
614,Cluster 614,1,unique
615,Cluster 615,1965,core
616,Cluster 616,601,accessory
617,Cluster 617,478,accessory
618,Cluster 618,1,unique
619,Cluster 619,2,unique
620,Cluster 620,8,unique
621,Cluster 621,1970,core
622,Cluster 622,64,unique
623,Cluster 623,63,unique
624,Cluster 624,4,unique
625,Cluster 625,248,accessory
626,Cluster 626,7,unique
627,Cluster 627,30,unique
628,Cluster 628,2,unique
629,Cluster 629,1,unique
630,Cluster 630,1,unique
631,Cluster 631,2,unique
632,Cluster 632,1,unique
633,Cluster 633,1,unique
634,Cluster 634,1,unique
635,Cluster 635,1,unique
636,Cluster 636,1903,accessory
637,Cluster 637,1967,core
638,Cluster 638,3,unique
639,Cluster 639,1,unique
640,Cluster 640,380,accessory
641,Cluster 641,1846,accessory
642,Cluster 642,1,unique
643,Cluster 643,2,unique
644,Cluster 644,1,unique
645,Cluster 645,2,unique
646,Cluster 646,17,unique
647,Cluster 647,71,unique
648,Cluster 648,5,unique
649,Cluster 649,17,unique
650,Cluster 650,1,unique
651,Cluster 651,130,unique
652,Cluster 652,1,unique
653,Cluster 653,2,unique
654,Cluster 654,6,unique
655,Cluster 655,1,unique
656,Cluster 656,1969,core
657,Cluster 657,5,unique
658,Cluster 658,1,unique
659,Cluster 659,2,unique
660,Cluster 660,2,unique
661,Cluster 661,4,unique
662,Cluster 662,2,unique
663,Cluster 663,1,unique
664,Cluster 664,4,unique
665,Cluster 665,9,unique
666,Cluster 666,1,unique
667,Cluster 667,1,unique
668,Cluster 668,14,unique
669,Cluster 669,4,unique
670,Cluster 670,37,unique
671,Cluster 671,2,unique
672,Cluster 672,1,unique
673,Cluster 673,7,unique
674,Cluster 674,26,unique
675,Cluster 675,1,unique
676,Cluster 676,1,unique
677,Cluster 677,95,unique
678,Cluster 678,5,unique
679,Cluster 679,1,unique
680,Cluster 680,2,unique
681,Cluster 681,1,unique
682,Cluster 682,3,unique
683,Cluster 683,9,unique
684,Cluster 684,4,unique
685,Cluster 685,1,unique
686,Cluster 686,85,unique
687,Cluster 687,1,unique
688,Cluster 688,1,unique
689,Cluster 689,28,unique
690,Cluster 690,14,unique
691,Cluster 691,856,accessory
692,Cluster 692,1,unique
693,Cluster 693,66,unique
694,Cluster 694,5,unique
695,Cluster 695,1,unique
696,Cluster 696,212,accessory
697,Cluster 697,2,unique
698,Cluster 698,1,unique
699,Cluster 699,1,unique
700,Cluster 700,6,unique
701,Cluster 701,60,unique
702,Cluster 702,30,unique
703,Cluster 703,1,unique
704,Cluster 704,19,unique
705,Cluster 705,3,unique
706,Cluster 706,1,unique
707,Cluster 707,2,unique
708,Cluster 708,1,unique
709,Cluster 709,1967,core
710,Cluster 710,2,unique
711,Cluster 711,1,unique
712,Cluster 712,1,unique
713,Cluster 713,9,unique
714,Cluster 714,21,unique
715,Cluster 715,3,unique
716,Cluster 716,57,unique
717,Cluster 717,57,unique
718,Cluster 718,1,unique
719,Cluster 719,3,unique
720,Cluster 720,4,unique
721,Cluster 721,2,unique
722,Cluster 722,37,unique
723,Cluster 723,1,unique
724,Cluster 724,13,unique
725,Cluster 725,1,unique
726,Cluster 726,4,unique
727,Cluster 727,1,unique
728,Cluster 728,1,unique
729,Cluster 729,1,unique
730,Cluster 730,1,unique
731,Cluster 731,1969,core
732,Cluster 732,9,unique
733,Cluster 733,20,unique
734,Cluster 734,3,unique
735,Cluster 735,2,unique
736,Cluster 736,2,unique
737,Cluster 737,69,unique
738,Cluster 738,1,unique
739,Cluster 739,10,unique
740,Cluster 740,3,unique
741,Cluster 741,1,unique
742,Cluster 742,5,unique
743,Cluster 743,1,unique
744,Cluster 744,3,unique
745,Cluster 745,2,unique
746,Cluster 746,1,unique
747,Cluster 747,1,unique
748,Cluster 748,1,unique
749,Cluster 749,1933,accessory
750,Cluster 750,1,unique
751,Cluster 751,435,accessory
752,Cluster 752,1,unique
753,Cluster 753,1,unique
754,Cluster 754,1,unique
755,Cluster 755,45,unique
756,Cluster 756,123,unique
757,Cluster 757,1,unique
758,Cluster 758,6,unique
759,Cluster 759,1,unique
760,Cluster 760,5,unique
761,Cluster 761,4,unique
762,Cluster 762,52,unique
763,Cluster 763,1,unique
764,Cluster 764,1,unique
765,Cluster 765,2,unique
766,Cluster 766,13,unique
767,Cluster 767,1,unique
768,Cluster 768,23,unique
769,Cluster 769,202,accessory
770,Cluster 770,3,unique
771,Cluster 771,1,unique
772,Cluster 772,7,unique
773,Cluster 773,1,unique
774,Cluster 774,2,unique
775,Cluster 775,1,unique
776,Cluster 776,5,unique
777,Cluster 777,656,accessory
778,Cluster 778,3,unique
779,Cluster 779,4,unique
780,Cluster 780,5,unique
781,Cluster 781,42,unique
782,Cluster 782,5,unique
783,Cluster 783,21,unique
784,Cluster 784,1,unique
785,Cluster 785,1,unique
786,Cluster 786,5,unique
787,Cluster 787,2,unique
788,Cluster 788,3,unique
789,Cluster 789,459,accessory
790,Cluster 790,5,unique
791,Cluster 791,1000,accessory
792,Cluster 792,11,unique
793,Cluster 793,1,unique
794,Cluster 794,579,accessory
795,Cluster 795,75,unique
796,Cluster 796,7,unique
797,Cluster 797,1920,accessory
798,Cluster 798,1,unique
799,Cluster 799,1,unique
800,Cluster 800,1,unique
801,Cluster 801,10,unique
802,Cluster 802,127,unique
803,Cluster 803,36,unique
804,Cluster 804,10,unique
805,Cluster 805,2,unique
806,Cluster 806,4,unique
807,Cluster 807,2,unique
808,Cluster 808,5,unique
809,Cluster 809,1,unique
810,Cluster 810,269,accessory
811,Cluster 811,1,unique
812,Cluster 812,4,unique
813,Cluster 813,3,unique
814,Cluster 814,2,unique
815,Cluster 815,11,unique
816,Cluster 816,5,unique
817,Cluster 817,56,unique
818,Cluster 818,12,unique
819,Cluster 819,45,unique
820,Cluster 820,2,unique
821,Cluster 821,1,unique
822,Cluster 822,29,unique
823,Cluster 823,1,unique
824,Cluster 824,15,unique
825,Cluster 825,29,unique
826,Cluster 826,1691,accessory
827,Cluster 827,1,unique
828,Cluster 828,1,unique
829,Cluster 829,3,unique
830,Cluster 830,201,accessory
831,Cluster 831,1,unique
832,Cluster 832,1,unique
833,Cluster 833,1931,accessory
834,Cluster 834,23,unique
835,Cluster 835,1970,core
836,Cluster 836,1,unique
837,Cluster 837,7,unique
838,Cluster 838,1,unique
839,Cluster 839,10,unique
840,Cluster 840,2,unique
841,Cluster 841,1,unique
842,Cluster 842,3,unique
843,Cluster 843,85,unique
844,Cluster 844,2,unique
845,Cluster 845,3,unique
846,Cluster 846,21,unique
847,Cluster 847,3,unique
848,Cluster 848,6,unique
849,Cluster 849,1,unique
850,Cluster 850,10,unique
851,Cluster 851,4,unique
852,Cluster 852,1,unique
853,Cluster 853,1,unique
854,Cluster 854,1,unique
855,Cluster 855,6,unique
856,Cluster 856,26,unique
857,Cluster 857,5,unique
858,Cluster 858,1,unique
859,Cluster 859,1,unique
860,Cluster 860,15,unique
861,Cluster 861,2,unique
862,Cluster 862,1,unique
863,Cluster 863,1,unique
864,Cluster 864,20,unique
865,Cluster 865,33,unique
866,Cluster 866,6,unique
867,Cluster 867,1,unique
868,Cluster 868,3,unique
869,Cluster 869,1,unique
870,Cluster 870,486,accessory
871,Cluster 871,1918,accessory
872,Cluster 872,1,unique
873,Cluster 873,27,unique
874,Cluster 874,1,unique
875,Cluster 875,1,unique
876,Cluster 876,1,unique
877,Cluster 877,6,unique
878,Cluster 878,26,unique
879,Cluster 879,2,unique
880,Cluster 880,4,unique
881,Cluster 881,2,unique
882,Cluster 882,1,unique
883,Cluster 883,1967,core
884,Cluster 884,121,unique
885,Cluster 885,15,unique
886,Cluster 886,3,unique
887,Cluster 887,1960,core
888,Cluster 888,9,unique
889,Cluster 889,7,unique
890,Cluster 890,1,unique
891,Cluster 891,1948,core
892,Cluster 892,2,unique
893,Cluster 893,1,unique
894,Cluster 894,1,unique
895,Cluster 895,1,unique
896,Cluster 896,8,unique
897,Cluster 897,2,unique
898,Cluster 898,1,unique
899,Cluster 899,1,unique
900,Cluster 900,1,unique
901,Cluster 901,4,unique
902,Cluster 902,39,unique
903,Cluster 903,2,unique
904,Cluster 904,1,unique
905,Cluster 905,1,unique
906,Cluster 906,4,unique
907,Cluster 907,29,unique
908,Cluster 908,3,unique
909,Cluster 909,8,unique
910,Cluster 910,1884,accessory
911,Cluster 911,1,unique
912,Cluster 912,2,unique
913,Cluster 913,17,unique
914,Cluster 914,4,unique
915,Cluster 915,2,unique
916,Cluster 916,1,unique
917,Cluster 917,1967,core
918,Cluster 918,15,unique
919,Cluster 919,4,unique
920,Cluster 920,1,unique
921,Cluster 921,3,unique
922,Cluster 922,7,unique
923,Cluster 923,1,unique
924,Cluster 924,65,unique
925,Cluster 925,40,unique
926,Cluster 926,163,unique
927,Cluster 927,5,unique
928,Cluster 928,272,accessory
929,Cluster 929,1,unique
930,Cluster 930,13,unique
931,Cluster 931,1,unique
932,Cluster 932,1959,core
933,Cluster 933,1,unique
934,Cluster 934,4,unique
935,Cluster 935,1,unique
936,Cluster 936,1,unique
937,Cluster 937,1,unique
938,Cluster 938,2,unique
939,Cluster 939,1396,accessory
940,Cluster 940,2,unique
941,Cluster 941,21,unique
942,Cluster 942,1,unique
943,Cluster 943,4,unique
944,Cluster 944,28,unique
945,Cluster 945,12,unique
946,Cluster 946,3,unique
947,Cluster 947,19,unique
948,Cluster 948,1,unique
949,Cluster 949,345,accessory
950,Cluster 950,1,unique
951,Cluster 951,1,unique
952,Cluster 952,41,unique
953,Cluster 953,4,unique
954,Cluster 954,1961,core
955,Cluster 955,2,unique
956,Cluster 956,2,unique
957,Cluster 957,1,unique
958,Cluster 958,1,unique
959,Cluster 959,102,unique
960,Cluster 960,24,unique
961,Cluster 961,1956,core
962,Cluster 962,3,unique
963,Cluster 963,1,unique
964,Cluster 964,1,unique
965,Cluster 965,358,accessory
966,Cluster 966,1,unique
967,Cluster 967,1,unique
968,Cluster 968,150,unique
969,Cluster 969,430,accessory
970,Cluster 970,5,unique
971,Cluster 971,202,accessory
972,Cluster 972,10,unique
973,Cluster 973,6,unique
974,Cluster 974,6,unique
975,Cluster 975,1343,accessory
976,Cluster 976,1,unique
977,Cluster 977,1,unique
978,Cluster 978,3,unique
979,Cluster 979,3,unique
980,Cluster 980,1,unique
981,Cluster 981,2,unique
982,Cluster 982,402,accessory
983,Cluster 983,1,unique
984,Cluster 984,3,unique
985,Cluster 985,9,unique
986,Cluster 986,4,unique
987,Cluster 987,2,unique
988,Cluster 988,1,unique
