, ,Number of genomes
290,Cluster 290,1
291,Cluster 291,6
292,Cluster 292,9
293,Cluster 293,18
294,Cluster 294,51
295,Cluster 295,212
296,Cluster 296,1
297,Cluster 297,1
298,Cluster 298,1
299,Cluster 299,585
300,Cluster 300,574
301,Cluster 301,5
302,Cluster 302,581
303,Cluster 303,1
304,Cluster 304,3
305,Cluster 305,6
306,Cluster 306,3
307,Cluster 307,166
308,Cluster 308,1
309,Cluster 309,14
310,Cluster 310,2
311,Cluster 311,1
312,Cluster 312,1
313,Cluster 313,1
314,Cluster 314,8
315,Cluster 315,1
316,Cluster 316,591
317,Cluster 317,1
318,Cluster 318,2
319,Cluster 319,1
320,Cluster 320,1
321,Cluster 321,3
322,Cluster 322,69
323,Cluster 323,7
324,Cluster 324,5
325,Cluster 325,9
326,Cluster 326,588
327,Cluster 327,1
328,Cluster 328,2
329,Cluster 329,1
330,Cluster 330,1
331,Cluster 331,1
332,Cluster 332,2
333,Cluster 333,27
334,Cluster 334,5
335,Cluster 335,1
336,Cluster 336,1
337,Cluster 337,3
338,Cluster 338,1
339,Cluster 339,60
340,Cluster 340,1
341,Cluster 341,8
342,Cluster 342,13
343,Cluster 343,1
344,Cluster 344,1
345,Cluster 345,594
346,Cluster 346,1
347,Cluster 347,1
348,Cluster 348,2
349,Cluster 349,1
350,Cluster 350,1
351,Cluster 351,33
352,Cluster 352,1
353,Cluster 353,6
354,Cluster 354,6
355,Cluster 355,3
356,Cluster 356,584
357,Cluster 357,3
358,Cluster 358,4
359,Cluster 359,2
360,Cluster 360,13
361,Cluster 361,1
362,Cluster 362,13
363,Cluster 363,1
364,Cluster 364,1
365,Cluster 365,282
366,Cluster 366,1
367,Cluster 367,7
368,Cluster 368,1
369,Cluster 369,2
370,Cluster 370,593
371,Cluster 371,1
372,Cluster 372,20
373,Cluster 373,1
374,Cluster 374,593
375,Cluster 375,4
376,Cluster 376,2
377,Cluster 377,5
378,Cluster 378,7
379,Cluster 379,2
380,Cluster 380,4
381,Cluster 381,66
382,Cluster 382,1
383,Cluster 383,594
384,Cluster 384,1
385,Cluster 385,5
386,Cluster 386,3
387,Cluster 387,1
388,Cluster 388,590
389,Cluster 389,1
390,Cluster 390,20
391,Cluster 391,1
392,Cluster 392,2
393,Cluster 393,57
394,Cluster 394,2
395,Cluster 395,19
396,Cluster 396,590
397,Cluster 397,3
398,Cluster 398,21
399,Cluster 399,578
400,Cluster 400,10
401,Cluster 401,5
402,Cluster 402,5
403,Cluster 403,4
404,Cluster 404,2
405,Cluster 405,4
406,Cluster 406,2
407,Cluster 407,16
