, ,Number of genomes
5925,Cluster 5925,1
5926,Cluster 5926,70
5927,Cluster 5927,588
5928,Cluster 5928,578
5929,Cluster 5929,111
5930,Cluster 5930,589
5931,Cluster 5931,9
5932,Cluster 5932,15
5933,Cluster 5933,1
5934,Cluster 5934,1
5935,Cluster 5935,1
5936,Cluster 5936,1
5937,Cluster 5937,43
5938,Cluster 5938,4
5939,Cluster 5939,1
5940,Cluster 5940,591
5941,Cluster 5941,1
5942,Cluster 5942,1
5943,Cluster 5943,1
5944,Cluster 5944,1
5945,Cluster 5945,12
5946,Cluster 5946,9
5947,Cluster 5947,1
5948,Cluster 5948,586
5949,Cluster 5949,589
5950,Cluster 5950,579
5951,Cluster 5951,253
5952,Cluster 5952,142
5953,Cluster 5953,12
5954,Cluster 5954,586
5955,Cluster 5955,5
5956,Cluster 5956,8
5957,Cluster 5957,2
5958,Cluster 5958,1
5959,Cluster 5959,1
5960,Cluster 5960,1
5961,Cluster 5961,1
5962,Cluster 5962,573
5963,Cluster 5963,14
5964,Cluster 5964,1
5965,Cluster 5965,1
5966,Cluster 5966,1
5967,Cluster 5967,8
5968,Cluster 5968,1
5969,Cluster 5969,34
5970,Cluster 5970,2
5971,Cluster 5971,1
5972,Cluster 5972,1
5973,Cluster 5973,1
5974,Cluster 5974,1
5975,Cluster 5975,595
5976,Cluster 5976,588
5977,Cluster 5977,42
5978,Cluster 5978,91
5979,Cluster 5979,4
5980,Cluster 5980,2
5981,Cluster 5981,14
5982,Cluster 5982,16
5983,Cluster 5983,1
5984,Cluster 5984,14
5985,Cluster 5985,4
5986,Cluster 5986,7
5987,Cluster 5987,1
5988,Cluster 5988,10
5989,Cluster 5989,6
5990,Cluster 5990,4
5991,Cluster 5991,582
5992,Cluster 5992,1
5993,Cluster 5993,1
5994,Cluster 5994,4
5995,Cluster 5995,7
5996,Cluster 5996,12
5997,Cluster 5997,3
5998,Cluster 5998,3
5999,Cluster 5999,1
6000,Cluster 6000,2
6001,Cluster 6001,2
6002,Cluster 6002,1
6003,Cluster 6003,1
6004,Cluster 6004,1
6005,Cluster 6005,10
6006,Cluster 6006,1
6007,Cluster 6007,594
6008,Cluster 6008,589
6009,Cluster 6009,582
6010,Cluster 6010,103
6011,Cluster 6011,37
6012,Cluster 6012,21
6013,Cluster 6013,71
6014,Cluster 6014,586
6015,Cluster 6015,1
6016,Cluster 6016,38
6017,Cluster 6017,16
6018,Cluster 6018,1
6019,Cluster 6019,105
6020,Cluster 6020,1
6021,Cluster 6021,4
6022,Cluster 6022,1
6023,Cluster 6023,4
6024,Cluster 6024,1
6025,Cluster 6025,2
6026,Cluster 6026,1
6027,Cluster 6027,7
6028,Cluster 6028,3
6029,Cluster 6029,1
6030,Cluster 6030,1
6031,Cluster 6031,1
6032,Cluster 6032,2
6033,Cluster 6033,1
6034,Cluster 6034,6
6035,Cluster 6035,1
6036,Cluster 6036,1
6037,Cluster 6037,560
6038,Cluster 6038,587
6039,Cluster 6039,593
6040,Cluster 6040,594
6041,Cluster 6041,592
6042,Cluster 6042,567
6043,Cluster 6043,3
6044,Cluster 6044,45
6045,Cluster 6045,2
6046,Cluster 6046,2
6047,Cluster 6047,9
6048,Cluster 6048,4
6049,Cluster 6049,9
6050,Cluster 6050,20
6051,Cluster 6051,1
6052,Cluster 6052,591
6053,Cluster 6053,8
6054,Cluster 6054,1
6055,Cluster 6055,3
6056,Cluster 6056,9
6057,Cluster 6057,591
6058,Cluster 6058,1
6059,Cluster 6059,1
6060,Cluster 6060,3
6061,Cluster 6061,1
6062,Cluster 6062,2
6063,Cluster 6063,1
6064,Cluster 6064,1
6065,Cluster 6065,9
6066,Cluster 6066,9
6067,Cluster 6067,3
6068,Cluster 6068,1
6069,Cluster 6069,1
6070,Cluster 6070,539
6071,Cluster 6071,587
6072,Cluster 6072,594
6073,Cluster 6073,14
6074,Cluster 6074,18
6075,Cluster 6075,568
6076,Cluster 6076,1
6077,Cluster 6077,14
6078,Cluster 6078,13
6079,Cluster 6079,20
6080,Cluster 6080,1
6081,Cluster 6081,1
6082,Cluster 6082,21
6083,Cluster 6083,6
6084,Cluster 6084,14
6085,Cluster 6085,2
6086,Cluster 6086,13
6087,Cluster 6087,1
6088,Cluster 6088,481
6089,Cluster 6089,1
6090,Cluster 6090,1
6091,Cluster 6091,1
6092,Cluster 6092,36
6093,Cluster 6093,1
6094,Cluster 6094,1
6095,Cluster 6095,1
6096,Cluster 6096,589
6097,Cluster 6097,3
6098,Cluster 6098,1
6099,Cluster 6099,1
6100,Cluster 6100,91
6101,Cluster 6101,594
6102,Cluster 6102,79
6103,Cluster 6103,62
6104,Cluster 6104,26
6105,Cluster 6105,592
6106,Cluster 6106,593
6107,Cluster 6107,3
6108,Cluster 6108,8
6109,Cluster 6109,6
6110,Cluster 6110,2
6111,Cluster 6111,1
6112,Cluster 6112,8
6113,Cluster 6113,591
6114,Cluster 6114,4
6115,Cluster 6115,21
6116,Cluster 6116,1
6117,Cluster 6117,5
6118,Cluster 6118,1
6119,Cluster 6119,2
6120,Cluster 6120,575
6121,Cluster 6121,1
6122,Cluster 6122,5
6123,Cluster 6123,1
6124,Cluster 6124,1
6125,Cluster 6125,1
6126,Cluster 6126,1
6127,Cluster 6127,591
6128,Cluster 6128,593
6129,Cluster 6129,551
6130,Cluster 6130,595
6131,Cluster 6131,583
6132,Cluster 6132,67
6133,Cluster 6133,594
6134,Cluster 6134,16
6135,Cluster 6135,44
6136,Cluster 6136,6
6137,Cluster 6137,1
6138,Cluster 6138,5
6139,Cluster 6139,1
6140,Cluster 6140,13
6141,Cluster 6141,41
6142,Cluster 6142,1
6143,Cluster 6143,2
6144,Cluster 6144,3
6145,Cluster 6145,1
6146,Cluster 6146,1
6147,Cluster 6147,2
6148,Cluster 6148,1
6149,Cluster 6149,593
6150,Cluster 6150,585
6151,Cluster 6151,593
6152,Cluster 6152,1
6153,Cluster 6153,48
6154,Cluster 6154,32
6155,Cluster 6155,14
6156,Cluster 6156,60
6157,Cluster 6157,2
6158,Cluster 6158,21
6159,Cluster 6159,3
6160,Cluster 6160,9
6161,Cluster 6161,7
6162,Cluster 6162,2
6163,Cluster 6163,2
6164,Cluster 6164,1
6165,Cluster 6165,1
6166,Cluster 6166,1
6167,Cluster 6167,567
6168,Cluster 6168,1
6169,Cluster 6169,43
6170,Cluster 6170,5
6171,Cluster 6171,2
6172,Cluster 6172,20
6173,Cluster 6173,593
6174,Cluster 6174,578
6175,Cluster 6175,18
6176,Cluster 6176,7
6177,Cluster 6177,5
6178,Cluster 6178,1
6179,Cluster 6179,1
6180,Cluster 6180,1
6181,Cluster 6181,2
6182,Cluster 6182,5
6183,Cluster 6183,4
6184,Cluster 6184,2
6185,Cluster 6185,1
6186,Cluster 6186,1
6187,Cluster 6187,589
6188,Cluster 6188,175
6189,Cluster 6189,79
6190,Cluster 6190,19
6191,Cluster 6191,16
6192,Cluster 6192,18
6193,Cluster 6193,12
6194,Cluster 6194,590
6195,Cluster 6195,2
6196,Cluster 6196,1
6197,Cluster 6197,1
6198,Cluster 6198,2
6199,Cluster 6199,4
6200,Cluster 6200,1
6201,Cluster 6201,1
6202,Cluster 6202,2
6203,Cluster 6203,1
6204,Cluster 6204,1
6205,Cluster 6205,1
6206,Cluster 6206,587
6207,Cluster 6207,5
6208,Cluster 6208,1
6209,Cluster 6209,8
6210,Cluster 6210,580
6211,Cluster 6211,1
6212,Cluster 6212,1
6213,Cluster 6213,2
6214,Cluster 6214,594
6215,Cluster 6215,1
6216,Cluster 6216,160
6217,Cluster 6217,560
6218,Cluster 6218,2
6219,Cluster 6219,8
6220,Cluster 6220,2
6221,Cluster 6221,9
6222,Cluster 6222,7
6223,Cluster 6223,1
6224,Cluster 6224,122
6225,Cluster 6225,6
6226,Cluster 6226,22
6227,Cluster 6227,393
6228,Cluster 6228,2
6229,Cluster 6229,11
6230,Cluster 6230,2
6231,Cluster 6231,1
6232,Cluster 6232,5
6233,Cluster 6233,2
6234,Cluster 6234,1
6235,Cluster 6235,550
6236,Cluster 6236,587
6237,Cluster 6237,1
6238,Cluster 6238,3
6239,Cluster 6239,1
6240,Cluster 6240,589
6241,Cluster 6241,594
6242,Cluster 6242,593
6243,Cluster 6243,595
6244,Cluster 6244,189
6245,Cluster 6245,591
6246,Cluster 6246,3
6247,Cluster 6247,21
6248,Cluster 6248,1
6249,Cluster 6249,33
6250,Cluster 6250,2
6251,Cluster 6251,7
6252,Cluster 6252,10
6253,Cluster 6253,1
6254,Cluster 6254,4
6255,Cluster 6255,10
6256,Cluster 6256,1
6257,Cluster 6257,595
6258,Cluster 6258,1
6259,Cluster 6259,9
6260,Cluster 6260,579
6261,Cluster 6261,1
6262,Cluster 6262,1
6263,Cluster 6263,2
6264,Cluster 6264,3
6265,Cluster 6265,1
6266,Cluster 6266,586
6267,Cluster 6267,4
6268,Cluster 6268,1
6269,Cluster 6269,2
6270,Cluster 6270,593
6271,Cluster 6271,571
6272,Cluster 6272,594
6273,Cluster 6273,592
6274,Cluster 6274,4
6275,Cluster 6275,29
6276,Cluster 6276,2
6277,Cluster 6277,2
6278,Cluster 6278,14
6279,Cluster 6279,4
6280,Cluster 6280,16
6281,Cluster 6281,1
6282,Cluster 6282,20
6283,Cluster 6283,1
6284,Cluster 6284,1
6285,Cluster 6285,1
6286,Cluster 6286,12
6287,Cluster 6287,1
6288,Cluster 6288,8
6289,Cluster 6289,6
6290,Cluster 6290,1
6291,Cluster 6291,1
6292,Cluster 6292,181
6293,Cluster 6293,1
6294,Cluster 6294,1
6295,Cluster 6295,591
6296,Cluster 6296,1
6297,Cluster 6297,1
6298,Cluster 6298,1
6299,Cluster 6299,1
6300,Cluster 6300,1
6301,Cluster 6301,1
6302,Cluster 6302,2
6303,Cluster 6303,1
6304,Cluster 6304,589
6305,Cluster 6305,591
6306,Cluster 6306,452
6307,Cluster 6307,1
6308,Cluster 6308,10
6309,Cluster 6309,1
6310,Cluster 6310,11
6311,Cluster 6311,1
6312,Cluster 6312,593
6313,Cluster 6313,14
6314,Cluster 6314,2
6315,Cluster 6315,1
6316,Cluster 6316,2
6317,Cluster 6317,1
6318,Cluster 6318,2
6319,Cluster 6319,2
6320,Cluster 6320,1
6321,Cluster 6321,1
6322,Cluster 6322,1
6323,Cluster 6323,2
6324,Cluster 6324,1
6325,Cluster 6325,2
6326,Cluster 6326,1
6327,Cluster 6327,1
6328,Cluster 6328,1
6329,Cluster 6329,2
6330,Cluster 6330,1
6331,Cluster 6331,2
6332,Cluster 6332,1
6333,Cluster 6333,2
6334,Cluster 6334,529
6335,Cluster 6335,594
6336,Cluster 6336,587
6337,Cluster 6337,594
6338,Cluster 6338,17
6339,Cluster 6339,592
6340,Cluster 6340,2
6341,Cluster 6341,4
6342,Cluster 6342,1
6343,Cluster 6343,19
6344,Cluster 6344,1
6345,Cluster 6345,568
6346,Cluster 6346,4
6347,Cluster 6347,1
6348,Cluster 6348,76
6349,Cluster 6349,2
6350,Cluster 6350,1
6351,Cluster 6351,2
6352,Cluster 6352,3
6353,Cluster 6353,1
6354,Cluster 6354,594
6355,Cluster 6355,590
6356,Cluster 6356,2
6357,Cluster 6357,1
6358,Cluster 6358,5
6359,Cluster 6359,4
6360,Cluster 6360,583
6361,Cluster 6361,581
6362,Cluster 6362,8
6363,Cluster 6363,5
6364,Cluster 6364,6
6365,Cluster 6365,1
6366,Cluster 6366,1
6367,Cluster 6367,1
6368,Cluster 6368,1
6369,Cluster 6369,2
6370,Cluster 6370,1
6371,Cluster 6371,1
6372,Cluster 6372,562
6373,Cluster 6373,570
6374,Cluster 6374,595
6375,Cluster 6375,2
6376,Cluster 6376,589
6377,Cluster 6377,1
6378,Cluster 6378,1
6379,Cluster 6379,1
6380,Cluster 6380,5
6381,Cluster 6381,4
6382,Cluster 6382,17
6383,Cluster 6383,4
6384,Cluster 6384,4
6385,Cluster 6385,588
6386,Cluster 6386,594
6387,Cluster 6387,1
6388,Cluster 6388,2
6389,Cluster 6389,1
6390,Cluster 6390,1
6391,Cluster 6391,2
6392,Cluster 6392,1
6393,Cluster 6393,2
6394,Cluster 6394,43
6395,Cluster 6395,2
6396,Cluster 6396,581
6397,Cluster 6397,1
6398,Cluster 6398,1
6399,Cluster 6399,1
6400,Cluster 6400,1
6401,Cluster 6401,1
6402,Cluster 6402,1
6403,Cluster 6403,1
6404,Cluster 6404,1
6405,Cluster 6405,5
6406,Cluster 6406,1
6407,Cluster 6407,593
6408,Cluster 6408,580
6409,Cluster 6409,591
6410,Cluster 6410,592
6411,Cluster 6411,590
6412,Cluster 6412,8
6413,Cluster 6413,28
6414,Cluster 6414,459
6415,Cluster 6415,594
6416,Cluster 6416,86
6417,Cluster 6417,17
6418,Cluster 6418,9
6419,Cluster 6419,4
6420,Cluster 6420,1
6421,Cluster 6421,592
6422,Cluster 6422,595
6423,Cluster 6423,6
6424,Cluster 6424,3
6425,Cluster 6425,2
6426,Cluster 6426,2
6427,Cluster 6427,1
6428,Cluster 6428,3
6429,Cluster 6429,2
6430,Cluster 6430,2
6431,Cluster 6431,8
6432,Cluster 6432,1
6433,Cluster 6433,1
6434,Cluster 6434,6
6435,Cluster 6435,1
6436,Cluster 6436,2
6437,Cluster 6437,34
6438,Cluster 6438,1
6439,Cluster 6439,593
6440,Cluster 6440,589
6441,Cluster 6441,402
6442,Cluster 6442,584
6443,Cluster 6443,5
6444,Cluster 6444,1
6445,Cluster 6445,2
6446,Cluster 6446,1
6447,Cluster 6447,18
6448,Cluster 6448,2
6449,Cluster 6449,1
6450,Cluster 6450,4
6451,Cluster 6451,2
6452,Cluster 6452,1
6453,Cluster 6453,1
6454,Cluster 6454,1
6455,Cluster 6455,1
6456,Cluster 6456,1
6457,Cluster 6457,2
6458,Cluster 6458,1
6459,Cluster 6459,13
6460,Cluster 6460,93
6461,Cluster 6461,2
6462,Cluster 6462,1
6463,Cluster 6463,3
6464,Cluster 6464,1
6465,Cluster 6465,1
6466,Cluster 6466,1
6467,Cluster 6467,594
6468,Cluster 6468,208
6469,Cluster 6469,591
6470,Cluster 6470,594
6471,Cluster 6471,595
6472,Cluster 6472,578
6473,Cluster 6473,564
6474,Cluster 6474,9
6475,Cluster 6475,5
6476,Cluster 6476,587
6477,Cluster 6477,5
6478,Cluster 6478,25
6479,Cluster 6479,13
6480,Cluster 6480,1
6481,Cluster 6481,7
6482,Cluster 6482,1
6483,Cluster 6483,2
6484,Cluster 6484,10
6485,Cluster 6485,6
6486,Cluster 6486,2
6487,Cluster 6487,1
6488,Cluster 6488,587
6489,Cluster 6489,1
6490,Cluster 6490,1
6491,Cluster 6491,2
6492,Cluster 6492,590
6493,Cluster 6493,592
6494,Cluster 6494,111
6495,Cluster 6495,135
6496,Cluster 6496,8
6497,Cluster 6497,64
6498,Cluster 6498,312
6499,Cluster 6499,57
6500,Cluster 6500,9
6501,Cluster 6501,2
6502,Cluster 6502,594
6503,Cluster 6503,2
6504,Cluster 6504,6
6505,Cluster 6505,9
6506,Cluster 6506,73
6507,Cluster 6507,2
6508,Cluster 6508,91
6509,Cluster 6509,1
6510,Cluster 6510,5
6511,Cluster 6511,3
6512,Cluster 6512,1
6513,Cluster 6513,579
6514,Cluster 6514,1
6515,Cluster 6515,5
6516,Cluster 6516,1
6517,Cluster 6517,52
6518,Cluster 6518,2
6519,Cluster 6519,1
6520,Cluster 6520,1
6521,Cluster 6521,1
6522,Cluster 6522,3
6523,Cluster 6523,1
6524,Cluster 6524,1
6525,Cluster 6525,572
6526,Cluster 6526,5
6527,Cluster 6527,2
6528,Cluster 6528,1
6529,Cluster 6529,2
6530,Cluster 6530,2
6531,Cluster 6531,1
6532,Cluster 6532,1
6533,Cluster 6533,577
6534,Cluster 6534,595
6535,Cluster 6535,591
6536,Cluster 6536,56
6537,Cluster 6537,19
6538,Cluster 6538,11
6539,Cluster 6539,20
6540,Cluster 6540,1
6541,Cluster 6541,594
6542,Cluster 6542,59
6543,Cluster 6543,8
6544,Cluster 6544,591
6545,Cluster 6545,8
6546,Cluster 6546,1
6547,Cluster 6547,1
6548,Cluster 6548,1
6549,Cluster 6549,3
6550,Cluster 6550,6
6551,Cluster 6551,2
6552,Cluster 6552,31
6553,Cluster 6553,459
6554,Cluster 6554,594
6555,Cluster 6555,1
6556,Cluster 6556,9
6557,Cluster 6557,1
6558,Cluster 6558,4
6559,Cluster 6559,1
6560,Cluster 6560,180
6561,Cluster 6561,1
6562,Cluster 6562,1
6563,Cluster 6563,1
6564,Cluster 6564,11
6565,Cluster 6565,592
6566,Cluster 6566,595
6567,Cluster 6567,592
6568,Cluster 6568,594
6569,Cluster 6569,594
6570,Cluster 6570,459
6571,Cluster 6571,594
6572,Cluster 6572,190
6573,Cluster 6573,583
6574,Cluster 6574,50
6575,Cluster 6575,594
6576,Cluster 6576,139
6577,Cluster 6577,2
6578,Cluster 6578,3
6579,Cluster 6579,5
6580,Cluster 6580,4
6581,Cluster 6581,4
6582,Cluster 6582,4
6583,Cluster 6583,4
6584,Cluster 6584,1
6585,Cluster 6585,1
6586,Cluster 6586,4
6587,Cluster 6587,14
6588,Cluster 6588,1
6589,Cluster 6589,584
6590,Cluster 6590,3
6591,Cluster 6591,4
6592,Cluster 6592,8
6593,Cluster 6593,1
6594,Cluster 6594,3
6595,Cluster 6595,572
6596,Cluster 6596,3
6597,Cluster 6597,1
6598,Cluster 6598,1
6599,Cluster 6599,4
6600,Cluster 6600,1
6601,Cluster 6601,1
6602,Cluster 6602,4
6603,Cluster 6603,4
6604,Cluster 6604,1
6605,Cluster 6605,1
6606,Cluster 6606,2
6607,Cluster 6607,1
6608,Cluster 6608,16
6609,Cluster 6609,593
6610,Cluster 6610,577
6611,Cluster 6611,10
6612,Cluster 6612,4
6613,Cluster 6613,7
6614,Cluster 6614,589
6615,Cluster 6615,143
6616,Cluster 6616,1
6617,Cluster 6617,1
6618,Cluster 6618,13
6619,Cluster 6619,2
6620,Cluster 6620,1
6621,Cluster 6621,2
6622,Cluster 6622,595
6623,Cluster 6623,1
6624,Cluster 6624,1
6625,Cluster 6625,8
6626,Cluster 6626,593
6627,Cluster 6627,1
6628,Cluster 6628,581
6629,Cluster 6629,1
6630,Cluster 6630,1
6631,Cluster 6631,1
6632,Cluster 6632,1
6633,Cluster 6633,1
6634,Cluster 6634,594
6635,Cluster 6635,1
6636,Cluster 6636,1
6637,Cluster 6637,1
6638,Cluster 6638,592
6639,Cluster 6639,199
6640,Cluster 6640,10
6641,Cluster 6641,1
6642,Cluster 6642,7
6643,Cluster 6643,434
6644,Cluster 6644,1
6645,Cluster 6645,1
6646,Cluster 6646,14
6647,Cluster 6647,2
6648,Cluster 6648,6
6649,Cluster 6649,4
6650,Cluster 6650,220
6651,Cluster 6651,2
6652,Cluster 6652,1
6653,Cluster 6653,2
6654,Cluster 6654,1
6655,Cluster 6655,4
6656,Cluster 6656,2
6657,Cluster 6657,5
6658,Cluster 6658,1
6659,Cluster 6659,1
6660,Cluster 6660,578
6661,Cluster 6661,318
6662,Cluster 6662,1
6663,Cluster 6663,1
6664,Cluster 6664,1
6665,Cluster 6665,592
6666,Cluster 6666,582
6667,Cluster 6667,583
6668,Cluster 6668,592
6669,Cluster 6669,584
6670,Cluster 6670,15
6671,Cluster 6671,59
6672,Cluster 6672,17
6673,Cluster 6673,9
6674,Cluster 6674,51
6675,Cluster 6675,400
6676,Cluster 6676,1
6677,Cluster 6677,1
6678,Cluster 6678,17
6679,Cluster 6679,17
6680,Cluster 6680,1
6681,Cluster 6681,2
6682,Cluster 6682,5
6683,Cluster 6683,1
6684,Cluster 6684,1
6685,Cluster 6685,57
6686,Cluster 6686,591
6687,Cluster 6687,6
6688,Cluster 6688,2
6689,Cluster 6689,15
6690,Cluster 6690,1
6691,Cluster 6691,10
6692,Cluster 6692,1
6693,Cluster 6693,7
6694,Cluster 6694,1
6695,Cluster 6695,1
6696,Cluster 6696,1
6697,Cluster 6697,450
6698,Cluster 6698,595
6699,Cluster 6699,579
6700,Cluster 6700,2
6701,Cluster 6701,588
6702,Cluster 6702,1
6703,Cluster 6703,1
6704,Cluster 6704,16
6705,Cluster 6705,1
6706,Cluster 6706,4
6707,Cluster 6707,1
6708,Cluster 6708,6
6709,Cluster 6709,1
6710,Cluster 6710,594
6711,Cluster 6711,3
6712,Cluster 6712,3
6713,Cluster 6713,584
6714,Cluster 6714,1
6715,Cluster 6715,4
6716,Cluster 6716,5
6717,Cluster 6717,1
6718,Cluster 6718,1
6719,Cluster 6719,594
6720,Cluster 6720,1
6721,Cluster 6721,2
6722,Cluster 6722,1
6723,Cluster 6723,16
6724,Cluster 6724,2
6725,Cluster 6725,1
6726,Cluster 6726,1
6727,Cluster 6727,1
6728,Cluster 6728,1
6729,Cluster 6729,587
6730,Cluster 6730,588
6731,Cluster 6731,580
6732,Cluster 6732,569
6733,Cluster 6733,593
6734,Cluster 6734,593
6735,Cluster 6735,581
6736,Cluster 6736,359
6737,Cluster 6737,28
6738,Cluster 6738,1
6739,Cluster 6739,1
6740,Cluster 6740,13
6741,Cluster 6741,11
6742,Cluster 6742,5
6743,Cluster 6743,2
6744,Cluster 6744,3
6745,Cluster 6745,587
6746,Cluster 6746,594
6747,Cluster 6747,1
6748,Cluster 6748,1
6749,Cluster 6749,1
6750,Cluster 6750,587
6751,Cluster 6751,12
6752,Cluster 6752,1
6753,Cluster 6753,2
6754,Cluster 6754,1
6755,Cluster 6755,1
6756,Cluster 6756,4
6757,Cluster 6757,1
6758,Cluster 6758,1
6759,Cluster 6759,1
6760,Cluster 6760,1
6761,Cluster 6761,1
6762,Cluster 6762,1
6763,Cluster 6763,590
6764,Cluster 6764,589
6765,Cluster 6765,575
6766,Cluster 6766,355
6767,Cluster 6767,574
6768,Cluster 6768,579
6769,Cluster 6769,5
6770,Cluster 6770,458
6771,Cluster 6771,105
6772,Cluster 6772,1
6773,Cluster 6773,6
6774,Cluster 6774,23
6775,Cluster 6775,1
6776,Cluster 6776,1
6777,Cluster 6777,1
6778,Cluster 6778,4
6779,Cluster 6779,2
6780,Cluster 6780,1
6781,Cluster 6781,1
6782,Cluster 6782,5
6783,Cluster 6783,135
6784,Cluster 6784,2
6785,Cluster 6785,1
6786,Cluster 6786,7
6787,Cluster 6787,2
6788,Cluster 6788,1
6789,Cluster 6789,1
6790,Cluster 6790,26
6791,Cluster 6791,6
6792,Cluster 6792,9
6793,Cluster 6793,590
6794,Cluster 6794,593
6795,Cluster 6795,574
6796,Cluster 6796,592
6797,Cluster 6797,593
6798,Cluster 6798,211
6799,Cluster 6799,585
6800,Cluster 6800,3
6801,Cluster 6801,9
6802,Cluster 6802,9
6803,Cluster 6803,4
6804,Cluster 6804,2
6805,Cluster 6805,1
6806,Cluster 6806,8
6807,Cluster 6807,217
6808,Cluster 6808,14
6809,Cluster 6809,19
6810,Cluster 6810,594
6811,Cluster 6811,2
6812,Cluster 6812,1
6813,Cluster 6813,32
6814,Cluster 6814,3
6815,Cluster 6815,55
6816,Cluster 6816,1
6817,Cluster 6817,507
6818,Cluster 6818,1
6819,Cluster 6819,590
6820,Cluster 6820,17
6821,Cluster 6821,19
6822,Cluster 6822,2
6823,Cluster 6823,4
6824,Cluster 6824,591
6825,Cluster 6825,583
6826,Cluster 6826,3
6827,Cluster 6827,1
6828,Cluster 6828,323
6829,Cluster 6829,1
6830,Cluster 6830,2
6831,Cluster 6831,1
6832,Cluster 6832,1
6833,Cluster 6833,1
6834,Cluster 6834,1
6835,Cluster 6835,3
6836,Cluster 6836,1
6837,Cluster 6837,2
6838,Cluster 6838,86
6839,Cluster 6839,2
6840,Cluster 6840,2
6841,Cluster 6841,1
6842,Cluster 6842,1
6843,Cluster 6843,1
6844,Cluster 6844,1
6845,Cluster 6845,4
6846,Cluster 6846,211
6847,Cluster 6847,587
6848,Cluster 6848,572
6849,Cluster 6849,565
6850,Cluster 6850,583
6851,Cluster 6851,110
6852,Cluster 6852,2
6853,Cluster 6853,2
6854,Cluster 6854,4
6855,Cluster 6855,12
6856,Cluster 6856,15
6857,Cluster 6857,595
6858,Cluster 6858,11
6859,Cluster 6859,17
6860,Cluster 6860,1
6861,Cluster 6861,7
6862,Cluster 6862,1
6863,Cluster 6863,3
6864,Cluster 6864,1
6865,Cluster 6865,1
6866,Cluster 6866,1
6867,Cluster 6867,1
6868,Cluster 6868,587
6869,Cluster 6869,1
6870,Cluster 6870,1
6871,Cluster 6871,1
6872,Cluster 6872,7
6873,Cluster 6873,1
6874,Cluster 6874,372
6875,Cluster 6875,1
6876,Cluster 6876,1
6877,Cluster 6877,1
6878,Cluster 6878,1
6879,Cluster 6879,2
6880,Cluster 6880,1
6881,Cluster 6881,1
6882,Cluster 6882,587
6883,Cluster 6883,298
6884,Cluster 6884,1
6885,Cluster 6885,1
6886,Cluster 6886,591
6887,Cluster 6887,592
6888,Cluster 6888,593
6889,Cluster 6889,592
6890,Cluster 6890,595
6891,Cluster 6891,592
6892,Cluster 6892,592
6893,Cluster 6893,572
6894,Cluster 6894,595
6895,Cluster 6895,592
6896,Cluster 6896,592
6897,Cluster 6897,595
6898,Cluster 6898,22
6899,Cluster 6899,588
6900,Cluster 6900,14
6901,Cluster 6901,5
6902,Cluster 6902,4
6903,Cluster 6903,593
6904,Cluster 6904,21
6905,Cluster 6905,1
6906,Cluster 6906,9
6907,Cluster 6907,1
6908,Cluster 6908,7
6909,Cluster 6909,13
6910,Cluster 6910,2
6911,Cluster 6911,2
6912,Cluster 6912,1
6913,Cluster 6913,2
6914,Cluster 6914,8
6915,Cluster 6915,7
6916,Cluster 6916,2
6917,Cluster 6917,2
6918,Cluster 6918,2
6919,Cluster 6919,1
6920,Cluster 6920,1
6921,Cluster 6921,590
6922,Cluster 6922,88
6923,Cluster 6923,1
6924,Cluster 6924,1
6925,Cluster 6925,1
6926,Cluster 6926,1
6927,Cluster 6927,586
6928,Cluster 6928,573
6929,Cluster 6929,592
6930,Cluster 6930,548
6931,Cluster 6931,16
6932,Cluster 6932,5
6933,Cluster 6933,13
6934,Cluster 6934,1
6935,Cluster 6935,1
6936,Cluster 6936,18
6937,Cluster 6937,1
6938,Cluster 6938,130
6939,Cluster 6939,1
6940,Cluster 6940,9
6941,Cluster 6941,3
6942,Cluster 6942,3
6943,Cluster 6943,1
6944,Cluster 6944,1
6945,Cluster 6945,2
6946,Cluster 6946,2
6947,Cluster 6947,1
6948,Cluster 6948,4
6949,Cluster 6949,62
6950,Cluster 6950,1
6951,Cluster 6951,1
6952,Cluster 6952,593
6953,Cluster 6953,3
6954,Cluster 6954,586
6955,Cluster 6955,591
6956,Cluster 6956,593
6957,Cluster 6957,572
6958,Cluster 6958,592
6959,Cluster 6959,320
6960,Cluster 6960,5
6961,Cluster 6961,2
6962,Cluster 6962,15
6963,Cluster 6963,3
6964,Cluster 6964,3
6965,Cluster 6965,15
6966,Cluster 6966,6
6967,Cluster 6967,1
6968,Cluster 6968,1
6969,Cluster 6969,1
6970,Cluster 6970,1
6971,Cluster 6971,2
6972,Cluster 6972,1
6973,Cluster 6973,3
6974,Cluster 6974,170
6975,Cluster 6975,1
6976,Cluster 6976,1
6977,Cluster 6977,2
6978,Cluster 6978,40
6979,Cluster 6979,1
6980,Cluster 6980,1
6981,Cluster 6981,588
6982,Cluster 6982,584
6983,Cluster 6983,591
6984,Cluster 6984,585
6985,Cluster 6985,24
6986,Cluster 6986,4
6987,Cluster 6987,15
6988,Cluster 6988,41
6989,Cluster 6989,1
6990,Cluster 6990,2
6991,Cluster 6991,3
6992,Cluster 6992,345
6993,Cluster 6993,1
6994,Cluster 6994,12
6995,Cluster 6995,5
6996,Cluster 6996,1
6997,Cluster 6997,6
6998,Cluster 6998,3
6999,Cluster 6999,2
7000,Cluster 7000,1
